"","Country.Name","X2002..YR2002.","X2003..YR2003.","X2004..YR2004.","X2005..YR2005.","X2006..YR2006.","X2007..YR2007.","X2008..YR2008.","X2009..YR2009.","X2010..YR2010.","X2011..YR2011.","X2012..YR2012.","X2013..YR2013.","X2014..YR2014.","gerkmeans.cluster"
"8","Argentina",88.5276521971429,98.99051666,98.63871765,98.81156158,98.80242157,99.0615387,99.04865265,99.02043915,98.66725922,98.84256744,98.96807098,99.02243805,72.7883253125,5
"9","Armenia",84.66973877,82.78723145,83.5303039533333,80.08213043,81.41265106,84.13555908,86.890090945,94.8583068842857,97.1607398975,92.1023330666667,86.890090945,65.8211631771429,97.60935974,1
"11","Australia",93.90847015,94.48014832,94.86698914,95.32144165,95.67832184,96.46190643,96.5811615,96.70838928,96.99015808,97.65837097,97.54989624,97.35562897,63.372148894,5
"13","Azerbaijan",84.82565308,83.28453827,84.21228027,83.86862183,83.15377045,83.37480164,83.88996887,85.17391205,84.44644928,86.61260986,89.10507202,93.5072937,95.17849731,7
"17","Barbados",91.89691925,91.5846405,90.46404266,90.24327087,92.06070709,94.77423859,96.79692078,93.79756165,95.05851746,93.57264709,94.5386371625,91.7482715945455,91.02246857,5
"18","Belarus",92.53426361,93.06314087,91.53115082,89.60536957,89.71151733,89.59237671,61.83484029625,91.52606964,91.05789185,90.70156097,93.88243103,92.84977722,93.74105835,7
"19","Belgium",98.873909,98.05435181,96.60144806,96.47212219,97.11396027,98.1838913,98.79984283,98.81420898,98.53462219,98.56684113,98.92021179,98.87512207,98.78048706,3
"21","Benin",96.9087284628571,81.78143311,84.87413788,80.06114197,82.57929993,95.8242206575,87.62329865,93.31217957,94.12084961,94.06144714,94.86309814,89.6688062877778,95.86662292,7
"26","Botswana",84.24894714,84.55010986,85.42041779,84.54029083,85.59542084,84.77300262,84.39090729,85.00926208,95.57633495375,98.94161224,90.2482605,91.02085876,96.527246093,7
"28","British Virgin Islands",91.6497173308333,95.6139482771429,95.57633495375,91.7482715945455,94.5386371625,91.0548331518182,94.5386371625,86.01087189,99.46710968,97.2097057009091,92.8366266891667,82.6798610675,94.4266579958333,5
"30","Bulgaria",95.41275787,95.43991852,95.45713043,92.21524811,90.79193878,93.95684814,96.06378937,97.50431061,97.7806015,97.08891296,95.53495789,95.17063904,94.92967987,5
"31","Burkina Faso",36.72385025,38.65737152,41.15568161,45.75244904,48.74734879,54.03105164,59.95318985,62.74713135,59.77185059,64.64225006,65.36231995,66.23651123,67.45066071,6
"33","Cabo Verde",94.5404892,94.03645325,92.3266983,91.96616364,91.76069641,91.73513794,92.12024689,93.32147217,94.95549011,96.44547272,98.26592255,98.29019165,98.16652679,5
"34","Cambodia",88.914350892,97.42201996,99.46710968,95.8242206575,94.49714661,95.54383087,94.23636627,89.6688062877778,93.28083038,97.5170517,97.40598297,91.0548331518182,94.70745087,5
"36","Canada",83.5303039533333,87.32404813,61.83484029625,82.6798610675,80.743068695,96.1180585233333,92.8366266891667,95.8242206575,65.1263647075,95.8242206575,99.47747803,99.45674133,44.0891904808333,10
"43","Colombia",94.46556091,65.8211631771429,95.30821228,94.20818329,92.75518799,91.96446228,92.66712952,93.28871155,93.56777954,94.03369141,91.47171783,90.47579193,89.83309174,7
"50","Cuba",95.81965637,94.09091187,94.46672058,94.48844147,94.81365967,96.79351044,97.43553162,99.13957977,99.17205048,98.4834671,96.86267853,96.22338867,93.15653992,5
