•ÈÀCountry Name,Country Code,Series Name,Series Code,2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Afghanistan,AFG,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,130.3,126.8,123.2,119.6,116.3,113.2,110.4,107.6,105,102.3,99.5,96.7,93.9,91.1,NA
Albania,ALB,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,23.6,22.5,21.5,20.5,19.5,18.7,17.9,17.3,16.6,16,15.5,14.9,14.4,14,NA
Algeria,DZA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,37.8,36.5,35.1,33.6,32.1,30.7,29.4,28.3,27.3,26.6,26.1,25.8,25.6,25.5,NA
American Samoa,ASM,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,ADO,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,4.2,4.1,4,3.9,3.7,3.6,3.5,3.4,3.3,3.2,3.1,3,2.9,2.8,NA
Angola,AGO,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,211.7,209.2,206.7,203.9,200.5,196.4,192,187.3,182.5,177.3,172.2,167.1,162.2,156.9,NA
Antigua and Barbuda,ATG,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,14.1,13.5,12.9,12.4,11.8,11.3,10.9,10.4,9.9,9.5,9.1,8.7,8.4,8.1,NA
Argentina,ARG,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,19.2,18.6,17.9,17.1,16.4,15.8,15.4,15,14.6,14.2,13.8,13.3,12.9,12.5,NA
Armenia,ARM,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,27.3,25.9,24.6,23.4,22.2,21.1,20,19,18,17.2,16.3,15.5,14.7,14.1,NA
Aruba,ABW,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia,AUS,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,6,6,5.9,5.7,5.6,5.4,5.2,5,4.8,4.5,4.3,4.1,3.9,3.8,NA
Austria,AUT,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,5.3,5.2,5,4.9,4.8,4.7,4.6,4.5,4.4,4.2,4,3.9,3.7,3.5,NA
Azerbaijan,AZE,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,63.8,59.3,55.2,51.7,48.6,45.8,43.3,41,39,37.3,35.7,34.2,32.9,31.7,NA
"Bahamas, The",BHS,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,15.5,15.4,15.4,15.3,15.1,14.8,14.5,14.2,13.9,13.5,13.2,12.8,12.4,12.1,NA
Bahrain,BHR,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,11.8,11.5,11.2,10.9,10.5,10,9.4,8.8,8.3,7.8,7.3,6.9,6.5,6.2,NA
Bangladesh,BGD,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,79,74.8,70.7,66.8,63,59.4,55.9,52.6,49.6,46.7,44,41.6,39.5,37.6,NA
Barbados,BRB,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,16.8,16.8,16.7,16.5,16.2,15.8,15.4,15.1,14.7,14.4,14.1,13.7,13.3,13,NA
Belarus,BLR,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,11.9,10.9,10.2,9.4,8.7,7.9,7.2,6.6,6.1,5.6,5.3,5,4.7,4.6,NA
Belgium,BEL,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,5.4,5.2,5.1,5,4.9,4.8,4.7,4.6,4.5,4.4,4.3,4.3,4.2,4.1,NA
Belize,BLZ,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,23.5,22.8,22.2,21.7,21.2,20.6,20.1,19.5,19,18.5,18,17.5,17,16.5,NA
Benin,BEN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,137.1,133.1,129.2,125.5,122.1,119,116.3,113.9,111.6,109.3,107,104.8,102.1,99.5,NA
Bermuda,BMU,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bhutan,BTN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,70.6,66.4,62.3,58.5,54.8,51.3,48.1,45.1,42.3,39.9,37.8,36,34.4,32.9,NA
Bolivia,BOL,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,72.2,68.5,64.8,61.4,58.1,54.9,52,49.3,47,44.9,43.1,41.3,39.8,38.4,NA
Bosnia and Herzegovina,BIH,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,8.3,8.2,8.2,8.3,8.3,8.3,8.1,7.8,7.4,6.9,6.5,6.1,5.7,5.4,NA
Botswana,BWA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,79.8,78.1,75.8,69,63.4,62.6,61.7,57.3,53.5,51.8,49.5,46.6,44.8,43.6,NA
Brazil,BRA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,27.4,25.4,23.6,21.9,20.4,19.2,18.1,17.2,16.6,16.2,16,16,16.2,16.4,NA
British Virgin Islands,VGB,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
