Country Name,Country Code,Series Name,Series Code,2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Afghanistan,AFG,"Net enrolment rate, primary, both sexes (%)",SE.PRM.NENR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albania,ALB,"Net enrolment rate, primary, both sexes (%)",SE.PRM.NENR,NA,91.71031189,91.11128998,NA,NA,NA,90.26728821,89.39333344,91.03386688,93.22566223,96.13709259,95.54573822,95.5173111,NA
Algeria,DZA,"Net enrolment rate, primary, both sexes (%)",SE.PRM.NENR,92.18602753,92.4985733,92.99851227,93.23486328,93.31427002,95.33348083,96.43457031,97.25605011,96.97776794,97.26242828,NA,NA,NA,NA
American Samoa,ASM,"Net enrolment rate, primary, both sexes (%)",SE.PRM.NENR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,ADO,"Net enrolment rate, primary, both sexes (%)",SE.PRM.NENR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,"Net enrolment rate, primary, both sexes (%)",SE.PRM.NENR,NA,NA,NA,NA,NA,NA,80.19909668,79.69084167,81.33943939,84.01230621,NA,NA,NA,NA
Antigua and Barbuda,ATG,"Net enrolment rate, primary, both sexes (%)",SE.PRM.NENR,NA,NA,NA,NA,NA,91.82145691,91.98223877,90.98368073,88.33960724,87.14524078,85.27813721,NA,84.14320374,NA
Argentina,ARG,"Net enrolment rate, primary, both sexes (%)",SE.PRM.NENR,NA,98.99051666,98.63871765,98.81156158,98.80242157,99.0615387,99.04865265,99.02043915,98.66725922,98.84256744,98.96807098,99.02243805,NA,NA
Armenia,ARM,"Net enrolment rate, primary, both sexes (%)",SE.PRM.NENR,84.66973877,82.78723145,NA,80.08213043,81.41265106,84.13555908,NA,NA,NA,NA,NA,NA,NA,NA
Aruba,ABW,"Net enrolment rate, primary, both sexes (%)",SE.PRM.NENR,95.30738831,93.93070221,94.6348877,97.80506134,98.62754822,98.87245178,99.06929779,95.86956787,98.92046356,NA,NA,NA,99.24993896,NA
Australia,AUS,"Net enrolment rate, primary, both sexes (%)",SE.PRM.NENR,93.90847015,94.48014832,94.86698914,95.32144165,95.67832184,96.46190643,96.5811615,96.70838928,96.99015808,97.65837097,97.54989624,97.35562897,NA,NA
Austria,AUT,"Net enrolment rate, primary, both sexes (%)",SE.PRM.NENR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Azerbaijan,AZE,"Net enrolment rate, primary, both sexes (%)",SE.PRM.NENR,84.82565308,83.28453827,84.21228027,83.86862183,83.15377045,83.37480164,83.88996887,85.17391205,84.44644928,86.61260986,89.10507202,93.5072937,95.17849731,NA
"Bahamas, The",BHS,"Net enrolment rate, primary, both sexes (%)",SE.PRM.NENR,NA,NA,93.76455688,98.11727142,96.57440186,98.2623291,98.24523926,95.87708282,97.5202179,NA,NA,NA,NA,NA
Bahrain,BHR,"Net enrolment rate, primary, both sexes (%)",SE.PRM.NENR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bangladesh,BGD,"Net enrolment rate, primary, both sexes (%)",SE.PRM.NENR,NA,NA,NA,91.88717651,92.57637787,NA,89.77980804,90.54656219,89.96452332,NA,NA,NA,NA,NA
Barbados,BRB,"Net enrolment rate, primary, both sexes (%)",SE.PRM.NENR,91.89691925,91.5846405,90.46404266,90.24327087,92.06070709,94.77423859,96.79692078,93.79756165,95.05851746,93.57264709,NA,NA,91.02246857,NA
Belarus,BLR,"Net enrolment rate, primary, both sexes (%)",SE.PRM.NENR,92.53426361,93.06314087,91.53115082,89.60536957,89.71151733,89.59237671,NA,91.52606964,91.05789185,90.70156097,93.88243103,92.84977722,93.74105835,NA
Belgium,BEL,"Net enrolment rate, primary, both sexes (%)",SE.PRM.NENR,98.873909,98.05435181,96.60144806,96.47212219,97.11396027,98.1838913,98.79984283,98.81420898,98.53462219,98.56684113,98.92021179,98.87512207,98.78048706,NA
Belize,BLZ,"Net enrolment rate, primary, both sexes (%)",SE.PRM.NENR,NA,92.13098907,93.3342514,93.00856781,93.66607666,93.42170715,93.83075714,94.90852356,95.39965057,95.15724182,96.68071747,95.80625153,96.29149628,NA
Benin,BEN,"Net enrolment rate, primary, both sexes (%)",SE.PRM.NENR,NA,81.78143311,84.87413788,80.06114197,82.57929993,NA,87.62329865,93.31217957,94.12084961,94.06144714,94.86309814,NA,95.86662292,NA
Bermuda,BMU,"Net enrolment rate, primary, both sexes (%)",SE.PRM.NENR,NA,NA,NA,97.11044312,NA,NA,NA,NA,NA,85.3482132,83.45787048,NA,NA,NA
Bhutan,BTN,"Net enrolment rate, primary, both sexes (%)",SE.PRM.NENR,NA,NA,NA,72.26426697,75.92447662,NA,81.11084747,85.50959015,87.2277832,88.05374908,89.49707794,86.60254669,85.58239746,NA
Bolivia,BOL,"Net enrolment rate, primary, both sexes (%)",SE.PRM.NENR,95.18627167,95.58071136,NA,NA,95.57228851,95.35543823,94.14108276,NA,NA,NA,NA,NA,NA,NA
Bosnia and Herzegovina,BIH,"Net enrolment rate, primary, both sexes (%)",SE.PRM.NENR,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.96594238,98.27108765,97.87940216,97.5265274,NA
Botswana,BWA,"Net enrolment rate, primary, both sexes (%)",SE.PRM.NENR,84.24894714,84.55010986,85.42041779,84.54029083,85.59542084,84.77300262,84.39090729,85.00926208,NA,NA,90.2482605,91.02085876,NA,NA
Brazil,BRA,"Net enrolment rate, primary, both sexes (%)",SE.PRM.NENR,95.73049164,93.17961884,94.42333984,94.85334015,NA,91.58905792,97.54902649,95.52764893,NA,95.00737762,95.05393982,90.35398102,NA,NA
British Virgin Islands,VGB,"Net enrolment rate, primary, both sexes (%)",SE.PRM.NENR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brunei Darussalam,BRN,"Net enrolment rate, primary, both sexes (%)",SE.PRM.NENR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,BGR,"Net enrolment rate, primary, both sexes (%)",SE.PRM.NENR,95.41275787,95.43991852,95.45713043,92.21524811,90.79193878,93.95684814,96.06378937,97.50431061,97.7806015,97.08891296,95.53495789,95.17063904,94.92967987,NA
Burkina Faso,BFA,"Net enrolment rate, primary, both sexes (%)",SE.PRM.NENR,36.72385025,38.65737152,41.15568161,45.75244904,48.74734879,54.03105164,59.95318985,62.74713135,59.77185059,64.64225006,65.36231995,66.23651123,67.45066071,NA
Burundi,BDI,"Net enrolment rate, primary, both sexes (%)",SE.PRM.NENR,48.50260925,51.84679031,53.30569839,56.29343033,72.29361725,78.99449921,88.74697113,86.73847198,91.40177917,NA,NA,91.04746246,95.35938263,NA
Cabo Verde,CPV,"Net enrolment rate, primary, both sexes (%)",SE.PRM.NENR,94.5404892,94.03645325,92.3266983,91.96616364,91.76069641,91.73513794,92.12024689,93.32147217,94.95549011,96.44547272,98.26592255,98.29019165,98.16652679,NA
Cambodia,KHM,"Net enrolment rate, primary, both sexes (%)",SE.PRM.NENR,NA,97.42201996,NA,NA,94.49714661,95.54383087,94.23636627,NA,93.28083038,97.5170517,97.40598297,NA,94.70745087,NA
Cameroon,CMR,"Net enrolment rate, primary, both sexes (%)",SE.PRM.NENR,NA,NA,NA,NA,NA,NA,80.92105103,83.63677216,NA,NA,91.36035156,NA,91.64218903,NA
Canada,CAN,"Net enrolment rate, primary, both sexes (%)",SE.PRM.NENR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.47747803,99.45674133,NA,NA
Cayman Islands,CYM,"Net enrolment rate, primary, both sexes (%)",SE.PRM.NENR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central African Republic,CAF,"Net enrolment rate, primary, both sexes (%)",SE.PRM.NENR,NA,NA,NA,48.354599,48.69115067,57.13729095,66.31899261,66.88124847,69.33730316,67.39968109,70.55845642,NA,NA,NA
Chad,TCD,"Net enrolment rate, primary, both sexes (%)",SE.PRM.NENR,56.11986923,57.62916183,NA,NA,NA,NA,NA,NA,NA,62.31483841,NA,84.44158936,NA,NA
Channel Islands,CHI,"Net enrolment rate, primary, both sexes (%)",SE.PRM.NENR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
