,2008 [YR2008],2012 [YR2012]
559,0.4825,0.5525
618,0.018198998,0.018198998
753,0.110059044,0.104790873
1030,0.001,0.001
1896,0.961006253,0.961096639
1955,0.177694416,0.328478081
2090,0.01985,0.01805
2690,0.93745275,0.932825642
3233,0.84,0.824
3292,0.103303163,0.140994401
3427,0.023686065,0.022799221
5966,0.818365765,1.257028825
6101,0.003727617,0.003395609
7244,0.505496221,0.519481106
7303,0.038461763,0.064308813
7438,0.185330679,0.18118585
7715,0.021025516,0.021750268
8038,0.9182146,0.9182146
8581,0.979194466,0.979972331
8640,0.36,0.44
8775,0.011513997,0.010369628
9918,0.97999729,0.984147004
9977,0.28006296,0.362449486
10112,0.015595488,0.014287355
10389,0.004004706,0.004023531
11255,0.97,0.982
11314,0.062819299,0.073246358
11449,0.01874812,0.014146512
11726,0.001,0.001
12592,0.966467369,0.973015457
12651,0.321367209,0.370836047
13386,0.9626131,0.9626131
13988,0.71175,0.78075
14123,0.0052,0.0048
15325,0.718043255,0.832321775
15460,0.0043,0.0039
16060,0.837828871,0.854031434
16603,0.7965,0.8105
16662,0.156804723,0.202423614
16797,0.044005857,0.038966713
17074,0.001571234,0.001528621
17940,0.976911636,0.979731346
17999,0.275,0.295
18134,0.018098555,0.017527968
18411,0.035164567,0.036404674
19336,0.347034455,0.418772277
19471,0.010674402,0.010204699
20614,0.815640929,0.829536407
20673,0.022,0.038
20808,0.05695,0.04835
21085,0.001,0.001
21951,0.998,0.998
22010,0.5965,0.6545
22145,0.01995977,0.019099274
22422,0.009162795,0.009813973
23288,0.996,0.996
23347,0.2145,0.2845
23435,5.80E-05,3.63E-07
23482,0.007498292,0.00595266
23759,0.003416454,0.003899781
24082,0.985259565,0.983572888
24684,0.665112787,0.75310783
24819,0.00467607,0.004530225
25419,0.985357624,0.981902134
25962,0.941028571,0.965142857
26021,0.112249267,0.127806938
26156,0.02030503,0.019641571
26433,0.016711956,0.01609745
27299,0.728499966,0.746499828
27358,0.019105889,0.023929443
27493,0.106432428,0.10160503
27770,0.012709542,0.012009384
28695,0.765760634,0.85477941
29973,0.9375,0.9595
30032,0.066208414,0.094242068
30167,0.0532,0.0472
30444,0.001513889,0.001513889
31310,0.853341648,0.869939229
31369,0.126485308,0.212456768
31504,0.050550101,0.045131172
31781,0.003,0.003
32647,0.988944891,0.992724457
32706,0.2988464,0.377432002
32841,0.008463026,0.007680396
33984,0.962651515,0.965108507
34043,0.056273824,0.065979243
34178,0.062776745,0.064683727
34455,0.246390966,0.24241478
35321,0.960697601,0.966651041
35380,0.341423771,0.434737096
35515,0.019284559,0.016663901
36717,0.459268254,0.50914127
36852,0.008459753,0.008339005
37452,0.970690297,0.986271412
37995,0.995957143,0.995785714
38054,0.358988855,0.477566108
38189,0.014026596,0.013215462
38789,0.5760783,0.6825367
39332,0.737,0.773
39391,0.008105791,0.010507943
39526,0.136178965,0.118591108
39803,0.0115,0.0095
40669,0.739485714,0.745428571
40728,0.006913664,0.006321772
40863,0.122521156,0.115983384
41140,0.014611123,0.014577418
41463,0.939842308,0.945064223
42006,0.867889074,0.87944537
42065,0.090203742,0.119689918
42200,0.026059189,0.024870592
42477,0.002797713,0.002525164
42800,0.988886743,1.024114797
43343,0.6,0.648
43402,0.005272682,0.006610709
43537,0.050922637,0.040946786
43814,0.009587312,0.008541969
44680,0.695336912,0.716097064
44739,0.034885921,0.064065875
44874,0.113603488,0.108311759
45151,0.048515602,0.046724514
46017,0.998,0.998
46076,0.736,0.752
46211,0.00584546,0.005488688
