,2008 [YR2008],2012 [YR2012]
559,0.48775,0.57875
618,0.017718397,0.017718397
753,0.109194471,0.100765396
1030,0.001,0.001
1896,0.961008129,0.961125631
1955,0.185894395,0.381913159
2090,0.01958,0.0167
2690,0.936522661,0.929119287
3233,0.8376,0.812
3292,0.10594054,0.154939149
3427,0.023437704,0.022018753
5966,0.851265495,1.421527473
6101,0.003684187,0.003152974
7244,0.506545088,0.524725438
7303,0.040400291,0.074001456
7438,0.184269086,0.17763736
7715,0.021033171,0.021975348
8038,0.9182146,0.9182146
8581,0.979252806,0.98026403
8640,0.366,0.47
8775,0.011342395,0.009511405
9918,0.980296476,0.985691105
9977,0.28624195,0.393344433
10112,0.015412781,0.013319768
10389,0.004006118,0.00403059
11255,0.9709,0.9865
11314,0.063601328,0.077156505
11449,0.017336992,0.00997442
11726,0.001,0.001
12592,0.96690758,0.975420094
12651,0.325077372,0.389386862
13386,0.9626131,0.9626131
13988,0.716925,0.806625
14123,0.00514,0.0045
15325,0.725346231,0.873908307
15460,0.00424,0.0036
16060,0.838802302,0.859865634
16603,0.79755,0.81575
16662,0.16022614,0.219530698
16797,0.043229371,0.035166741
17074,0.001313974,0.001245793
17940,0.977185127,0.98085075
17999,0.2765,0.3025
18134,0.018037689,0.017124749
18411,0.035213938,0.036826076
19336,0.352414792,0.44567396
19471,0.010599044,0.009847519
20614,0.816733207,0.834797329
20673,0.0232,0.044
20808,0.05566,0.0419
21085,0.001,0.001
21951,0.998,0.998
22010,0.60085,0.67625
22145,0.019875632,0.018498839
22422,0.009211633,0.010058165
23288,0.996,0.996
23347,0.21975,0.31075
23435,5.69E-05,-3.54E-05
23482,0.007257268,0.004784256
23759,0.00354139,0.004169715
24082,0.984877463,0.982178781
24684,0.671326623,0.785720179
24819,0.004661711,0.004428359
25419,0.982723159,0.977194375
25962,0.942837143,0.974185714
26021,0.113344047,0.13356902
26156,0.020188048,0.019126513
26433,0.01653913,0.015555921
27299,0.729849955,0.753249777
27358,0.019467655,0.025738276
27493,0.105131884,0.097408048
27770,0.012535267,0.011415014
28695,0.772437042,0.888161451
29973,0.93915,0.96775
30032,0.068310938,0.104754688
30167,0.0523,0.0427
30444,0.001222222,0.001222222
31310,0.854644142,0.876220998
31369,0.132933168,0.244696066
31504,0.049680162,0.041009876
31781,0.003,0.003
32647,0.989228359,0.994141794
32706,0.304740321,0.406901603
32841,0.008380841,0.007128634
33984,0.96284697,0.966041059
34043,0.057315971,0.069933016
34178,0.062919769,0.065398846
34455,0.245425545,0.239063649
35321,0.961206881,0.968946354
35380,0.351210902,0.472518225
35515,0.018855295,0.014662241
36717,0.46300873,0.527843651
36852,0.008435605,0.008242408
37452,0.974885106,0.995140556
37995,0.995931429,0.995657143
38054,0.365765512,0.51991594
38189,0.013862554,0.012564739
38789,0.58406268,0.7224586
39332,0.7397,0.7865
39391,0.008287528,0.011410326
39526,0.133226344,0.105085773
39803,0.0112,0.008
40669,0.739931429,0.747657143
40728,0.006861863,0.005914835
40863,0.12121385,0.110753414
41140,0.014377796,0.014323869
41463,0.939587192,0.947942257
42006,0.868755796,0.883778982
42065,0.092415205,0.130747234
42200,0.025794703,0.023892946
42477,0.00267634,0.002240263
42800,0.990608006,1.036404476
43343,0.6036,0.666
43402,0.005384487,0.007123922
43537,0.049556219,0.033594857
43814,0.009339698,0.00766715
44680,0.696937986,0.723926183
44739,0.036561697,0.074495638
44874,0.112525581,0.104058815
45151,0.048224963,0.045359223
46017,0.998,0.998
46076,0.7372,0.758
46211,0.005812736,0.005241901
47354,0.952595453,0.959518058
47413,0.56875,0.76375
48148,0.567473762,0.545545914
48691,0.660004601,0.672310086
48750,0.00405462,0.005414423
48885,0.14794,0.1377
50028,0.485231429,0.498157143
50087,0.010018658,0.014672191
50222,0.167878757,0.158111593
50499,0.030597507,0.026697416
52159,0.9492944,0.9492944
52702,0.975921364,0.984130415
52761,0.376375723,0.445878613
52896,0.009146168,0.010046175
53173,0.002831441,0.002628409
54039,0.892228594,0.92083358
54098,0.211737236,0.505409446
54186,0.0003238,0.000162127
54233,0.018787819,0.015547872
54833,0.933927235,0.93008221
55376,0.907768771,0.910843857
55435,0.256607666,0.365889534
55570,0.020040456,0.017966395
55847,0.005,0.005
56772,0.027020464,0.035102322
56907,0.087951355,0.080717889
57184,0.001,0.001
58050,0.4543,0.4595
58109,0.004131074,0.0059245
58244,0.165459164,0.153652486
58521,0.013,0.013
59387,0.731637558,0.746510864
59446,0.032483187,0.052027759
59581,0.107789741,0.098177226
59858,0.032632984,0.028474267
60724,0.960736927,0.964532513
60783,0.300753602,0.367768011
60918,0.010379545,0.010228406
61195,0.003,0.003
62061,0.791655045,0.797568045
62120,0.02048295,0.030744238
62255,0.122015956,0.111187423
62532,0.039274463,0.02699723
62855,0.9900863,0.9883199
63398,0.985,0.985
63457,0.438465051,0.547023689
63592,0.005957352,0.005003437
64192,0.991179906,0.975470536
64735,0.927519454,0.933597269
64794,0.120349794,0.128714555
64882,0.000214501,0.000246309
64929,0.006465581,0.006709597
65206,0.001,0.001
66866,0.9934184,0.9934184
67468,0.429530854,0.51685427
67603,0.004069486,0.002856719
68746,0.998,0.998
68805,0.555024867,0.697924337
68940,0.004438276,0.003229639
69540,0.969758669,0.965017346
70142,0.856610717,0.881853584
70277,0.004422784,0.003631972
71420,0.89485,0.91825
71479,0.018412748,0.027263741
71614,0.091661151,0.082644308
71891,0.018505733,0.013452991
72816,0.412521446,0.451628711
72951,0.013595743,0.013451763
73551,0.893475473,0.85415109
74094,0.827516005,0.812705123
74153,0.194682322,0.267011608
74288,0.0308,0.0276
74565,0.00934962,0.007361998
75431,0.839869491,0.8546539
75490,0.1314,0.225
75625,0.026398703,0.023751186
75902,0.006001416,0.006005092
76768,0.986238619,0.995193094
76827,0.173169783,0.224648917
76962,0.025829185,0.021646061
77239,0.001,0.001
77562,0.944212844,0.962028413
78105,0.886149947,0.904329828
78164,0.065065,0.080925
78299,0.019392695,0.016807386
78576,0.006886464,0.005097224
79501,0.017377773,0.02460394
79636,0.114584301,0.102875862
79913,0.05695,0.06475
80236,0.36737958,0.310642149
80838,0.004337783,0.005288914
80973,0.061439746,0.053198809
81250,0.008816092,0.003963683
81573,0.95323052,0.9245598
82116,0.991,0.991
82175,0.67646718,0.739832727
82310,0.005419881,0.003354652
83453,0.4327,0.4795
83512,0.004086147,0.005630737
83647,0.088609476,0.066421161
83924,0.0186,0.009
84849,0.802833607,0.974968034
85584,0.997121792,0.986092753
86127,0.954554593,0.968354689
86186,0.116206827,0.145120896
86321,0.022317038,0.022326385
86598,0.001,0.001
86921,0.975234633,0.977253268
87523,0.833275828,0.935179139
87658,0.00342,0.0031
88258,0.989503425,0.979541231
88860,0.730107399,1.006936997
88995,0.00432,0.004
90197,0.311464614,0.406611764
91475,0.89755,0.91575
91534,0.061804834,0.078343986
91669,0.072669175,0.063249716
91946,0.05404475,0.051607776
92269,0.782334699,0.79195556
92812,0.876157125,0.892130375
92871,0.070347027,0.100094489
93006,0.08446429,0.072782663
93283,0.014244427,0.015004335
94149,0.954375362,0.975719902
94208,0.087365301,0.106426504
94343,0.023071711,0.020577266
94620,0.001222222,0.001222222
94943,0.997316733,0.997316733
95545,0.774367908,0.859929977
95680,0.00442,0.0041
96280,0.726940758,0.783708616
96823,0.8171,0.8535
96882,0.045331086,0.073166398
97017,0.081263603,0.072493119
97294,0.0172,0.014
98160,0.998,0.998
98219,0.404417753,0.546816887
98354,0.00466,0.0037
99556,0.624622132,0.672332912
100834,0.967,0.967
100893,0.23282565,0.272528249
101028,0.014340483,0.013775109
102171,0.996,0.996
102230,0.467923911,0.493600611
103508,0.918881429,0.934407143
103567,0.077629162,0.096832567
103702,0.037047118,0.032851909
103979,0.00778694,0.006163681
104302,0.709277675,0.766279095
104845,0.704574286,0.730871429
104904,0.008456741,0.011082693
105039,0.119795529,0.106092056
105316,0.016457728,0.017473148
105595,0.044645921,0.037075071
106182,0.654630849,0.703439982
106241,0.023055086,0.026989407
106376,0.146,0.1348
106653,0.03965,0.04225
107519,0.9405,0.9665
107578,0.138276443,0.138478089
107713,0.039573662,0.037178393
107990,0.012460665,0.013969189
108856,0.62265,0.62525
108915,0.077394501,0.098972506
109050,0.08396,0.0766
109327,0.023,0.023
109650,0.945391597,0.940317509
110193,0.865805983,0.885029916
110252,0.104262125,0.139426299
110387,0.027085427,0.023980742
110664,0.0062,0.003
110987,0.961556626,0.961556626
111589,0.673668946,0.776826744
112324,0.9663615,0.9663615
112926,0.579634593,0.766172965
113061,0.007534923,0.007089269
114263,0.935642821,1.054214107
114398,0.002680486,0.002165077
115541,0.883539332,0.909696658
115600,0.042489494,0.06389208
115735,0.067160095,0.059438533
116012,0.003,0.002656555
116335,0.993648429,1.025132545
116878,0.824926786,0.840633929
116937,0.064404631,0.090572168
117072,0.036913134,0.032468055
117349,0.003148647,0.003925932
118215,0.953384281,0.954948989
118274,0.099936443,0.121685919
118409,0.021757908,0.018328676
118686,0.001,0.001
119552,0.8326,0.843
119611,0.009474825,0.009624464
119746,0.038036458,0.03453037
120346,0.9986051,0.9986051
120889,0.998,0.998
120948,0.659235102,0.849842526
121083,0.004400743,0.003551861
123622,0.557384282,0.940041978
123757,0.004951142,0.004549514
124959,0.4261,0.4989
125094,0.00412,0.0038
126237,0.93183239,0.930303284
126296,0.24155,0.36375
126431,0.019065515,0.017215984
126708,0.018800744,0.01712322
127031,1.001185145,1.000814405
127633,0.773085624,0.853112236
127768,0.00342,0.0031
128368,0.995146012,0.995146012
128911,0.962638845,0.960692042
128970,0.221752425,0.308762126
129105,0.021757366,0.019756246
129705,0.988047773,0.989468067
130248,0.933164329,0.930819658
130307,0.042607032,0.055722046
130442,0.026304252,0.019887758
131585,0.5822,0.603
131644,0.09261058,0.132129177
131779,0.086928706,0.073831079
132056,0.062616129,0.055777849
132922,0.639092654,0.656686774
132981,0.06975,0.10875
133116,0.065124697,0.062470917
134259,0.985657974,0.981235323
134453,0.032757135,0.032546142
135053,0.9936807,0.9936807
135596,0.975390809,0.988954044
135655,0.775098468,0.841618666
