,2008 [YR2008],2012 [YR2012]
559,0.48775,0.5735
618,0.017958697,0.018006757
753,0.109626758,0.103180682
1030,0.001,0.001
1896,0.961008129,0.961119832
1955,0.185894395,0.371226143
2090,0.019715,0.01751
2690,0.936987706,0.9313431
3233,0.8388,0.8192
3292,0.10594054,0.152150199
3427,0.023561884,0.022487034
5966,0.851265495,1.388627743
6101,0.003705902,0.003298555
7244,0.506545088,0.523676571
7303,0.040400291,0.072062928
7438,0.184799882,0.179766454
7715,0.021033171,0.021930332
8038,0.9182146,0.9182146
8581,0.979252806,0.98020569
8640,0.366,0.464
8775,0.011428196,0.010026339
9918,0.980296476,0.985382285
9977,0.28624195,0.387165443
10112,0.015504135,0.013900321
10389,0.004006118,0.004029178
11255,0.9709,0.9856
11314,0.063601328,0.076374476
11449,0.018042556,0.012477675
11726,0.001,0.001
12592,0.96690758,0.974939166
12651,0.325077372,0.385676699
13386,0.9626131,0.9626131
13988,0.716925,0.80145
14123,0.00517,0.00468
15325,0.725346231,0.865591001
15460,0.00427,0.00378
16060,0.838802302,0.858698794
16603,0.79755,0.8147
16662,0.16022614,0.216109282
16797,0.043617614,0.037446724
17074,0.001442604,0.00141549
17940,0.977185127,0.980626869
17999,0.2765,0.301
18134,0.018068122,0.017366681
18411,0.035213938,0.036741795
19336,0.352414792,0.440293623
19471,0.010636723,0.010061827
20614,0.816733207,0.833745145
20673,0.0232,0.0428
20808,0.056305,0.04577
21085,0.001,0.001
21951,0.998,0.998
22010,0.60085,0.6719
22145,0.019917701,0.0188591
22422,0.009211633,0.010009326
23288,0.996,0.996
23347,0.21975,0.3055
23435,5.75E-05,-1.39E-05
23482,0.00737778,0.005485299
23759,0.00354139,0.004115728
24082,0.985068514,0.983015246
24684,0.671326623,0.779197709
24819,0.00466889,0.004489479
25419,0.984040392,0.98001903
25962,0.942837143,0.972377143
26021,0.113344047,0.132416604
26156,0.020246539,0.019435548
26433,0.016625543,0.015880839
27299,0.729849955,0.751899787
27358,0.019467655,0.025376509
27493,0.105782156,0.099926237
27770,0.012622405,0.011771636
28695,0.772437042,0.881485043
29973,0.93915,0.9661
30032,0.068310938,0.102652164
30167,0.05275,0.0454
30444,0.001368056,0.001397222
31310,0.854644142,0.874964644
31369,0.132933168,0.238248206
31504,0.050115132,0.043482654
31781,0.003,0.003
32647,0.989228359,0.993858326
32706,0.304740321,0.401007683
32841,0.008421933,0.007459691
33984,0.96284697,0.965854549
34043,0.057315971,0.069142261
34178,0.062919769,0.065255822
34455,0.245908256,0.241074328
35321,0.961206881,0.968487291
35380,0.351210902,0.464961999
35515,0.019069927,0.015863237
