,2008 [YR2008],2012 [YR2012]
559,0.5,0.64
618,0.019,0.019
753,0.108618089,0.098081745
1030,0.001,0.001
1896,0.960892013,0.95870512
1955,0.204622395,0.421667359
2090,0.0194,0.0158
2690,0.93923121,0.959614576
3233,0.836,0.804
3292,0.112102397,0.187495942
3427,0.02327213,0.021498442
5966,0.92803153,1.80535765
6101,0.003653535,0.002987033
7244,0.509,0.537
7303,0.044923525,0.096617625
7438,0.1831,0.1671
7715,0.021085274,0.022356389
8038,0.9182146,0.9182146
8581,0.979294118,0.980470588
8640,0.38,0.54
8775,0.0113,0.0093
9918,0.981024824,0.989124118
9977,0.309660637,0.510437869
10112,0.015290977,0.012674711
10389,0.004176471,0.004882353
11255,0.973,0.997
11314,0.063754524,0.077922486
11449,0.018083179,0.009824151
11726,0.001,0.001
12592,0.968235294,0.981176471
12651,0.327176471,0.399882354
13386,0.9626131,0.9626131
13988,0.729,0.867
14123,0.0051,0.0043
15325,0.750727163,0.978835814
15460,0.0042,0.0034
16060,0.8345841,0.8345841
16603,0.8,0.828
16662,0.167237193,0.254585963
16797,0.042747253,0.034246171
17074,0.002,0.002
17940,0.977692164,0.983239099
17999,0.277055256,0.28977059
18134,0.017997111,0.016855936
18411,0.035301694,0.037746969
19336,0.348455678,0.425878392
19471,0.010548805,0.009609399
20614,0.819341919,0.848709596
20673,0.026,0.058
20808,0.0548,0.0376
21085,0.001,0.001
21951,0.998,0.998
22010,0.604465536,0.653885957
22145,0.01981954,0.018098549
22422,0.009411765,0.011058824
23288,0.996,0.996
23347,0.232,0.372
23435,6.00E-05,6.00E-05
23482,0.007109828,0.004380318
23759,0.003,0.003
24082,0.982567144,0.975714803
24684,0.682305288,0.833926441
24819,0.004652139,0.004360449
25419,0.989520375,0.989520375
25962,0.947117647,0.995588235
26021,0.114988235,0.140541176
26156,0.02014965,0.019169587
26433,0.016415775,0.015010866
27299,0.733,0.769
27358,0.020421457,0.030507285
27493,0.104264855,0.09461006
27770,0.012438047,0.011064429
28695,0.788015328,0.96605288
29973,0.943,0.987
30032,0.073216827,0.129284135
30167,0.0517,0.0397
30444,0.001055556,0.001055556
31310,0.857,0.889
31369,0.147978173,0.319921093
31504,0.049100203,0.038262345
31781,0.003,0.003
32647,0.99,0.998
32706,0.319142464,0.478912319
32841,0.008370195,0.007086498
33984,0.963600265,0.969027185
34043,0.059492058,0.078203919
34178,0.063253491,0.067067455
34455,0.244876631,0.239176945
35321,0.962441447,0.975004918
35380,0.372508545,0.557009319
35515,0.018569118,0.013327802
36717,0.471736508,0.57148254
36852,0.008429488,0.008296847
37452,0.958120696,0.959931769
37995,0.995823529,0.995117647
38054,0.405042333,0.674784664
38189,0.013753192,0.012130923
38789,0.593702559,0.716499623
39332,0.745176471,0.813882353
39391,0.008591029,0.012955146
39526,0.131257931,0.096082216
39803,0.011,0.007
40669,0.740941176,0.752705882
40728,0.006828705,0.00565878
40863,0.120342312,0.107266768
41140,0.014393479,0.012826829
41463,0.9402675,0.9402675
42006,0.871,0.895
42065,0.097575286,0.156547638
42200,0.025618378,0.023241183
42477,0.003,0.003
42800,0.99878082,1.061307299
43343,0.612,0.708
43402,0.005188235,0.006341177
43537,0.048638646,0.029275308
43814,0.009,0.005
44680,0.700767533,0.742409022
44739,0.039130943,0.078454713
44874,0.111806976,0.101223519
45151,0.048,0.044
46017,0.998,0.998
46076,0.738529521,0.754656476
46211,0.00579092,0.005077376
47354,0.953478675,0.964164659
47413,0.550588235,0.672941175
48148,0.535201206,0.535201206
48691,0.662,0.682
48750,0.004273039,0.006547771
48885,0.1473,0.1345
50028,0.486941176,0.506705882
50087,0.011134032,0.02178118
50222,0.167248446,0.155039491
50499,0.031,0.027
52159,0.9492944,0.9492944
52702,0.977654003,0.992270015
52761,0.380117633,0.464588163
52896,0.009171028,0.010555654
53173,0.002911903,0.002559516
54039,0.896,0.94
54098,0.214768474,0.43384237
54186,0.000366,0.000366
54233,0.018484774,0.01443484
54833,0.947162334,0.982604472
55376,0.908352941,0.913764706
55435,0.282583255,0.540916275
55570,0.019925571,0.017332994
55847,0.005,0.005
56772,0.028,0.04
56907,0.087514194,0.078472361
57184,0.001,0.001
58050,0.455,0.463
58109,0.004361694,0.007118411
58244,0.164848955,0.150090608
58521,0.012571911,0.010859556
59387,0.734,0.758
59446,0.035114187,0.065182759
59581,0.107337176,0.095321533
59858,0.032,0.024
60724,0.961487078,0.96743539
60783,0.300705873,0.367529364
60918,0.010374431,0.010185508
61195,0.003,0.003
62061,0.792509463,0.801119895
62120,0.020977765,0.032888824
62255,0.121344945,0.107809279
62532,0.038,0.022
62855,0.9905279,0.9905279
63398,0.985,0.985
63457,0.45669768,0.613971754
63592,0.0059,0.0047
64192,0.9865396,0.9865396
64735,0.928384615,0.937923077
64794,0.127274294,0.160819814
64882,0.000308667,0.000308667
64929,0.006500894,0.006876303
65206,0.001,0.001
66866,0.9934184,0.9934184
67468,0.431682366,0.527611829
67603,0.004,0.0028
68746,0.998,0.998
68805,0.573903649,0.792318244
68940,0.004371712,0.002850829
69540,0.97496756,0.981032198
70142,0.839510093,0.822225552
70277,0.00437848,0.003389965
71420,0.898,0.934
71479,0.019699588,0.03369794
71614,0.091112525,0.079759553
71891,0.018,0.01
72816,0.408697321,0.418621531
72951,0.013569679,0.013389704
73551,0.835954922,0.835954922
74094,0.826692353,0.808239529
