,2008 [YR2008],2012 [YR2012]
559,0.493,0.605
618,0.019,0.019
753,0.109194471,0.100765396
1030,0.001,0.001
1896,0.960913611,0.959164096
1955,0.193770147,0.367406118
2090,0.01958,0.0167
2690,0.939185548,0.955492241
3233,0.8376,0.812
3292,0.108584299,0.168899135
3427,0.023437704,0.022018753
5966,0.884165224,1.58602612
6101,0.003682828,0.003149627
7244,0.5076,0.53
7303,0.04233882,0.0836941
7438,0.1839,0.1711
7715,0.021068219,0.022085112
8038,0.9182146,0.9182146
8581,0.979235294,0.980176471
8640,0.372,0.5
8775,0.0114,0.0098
9918,0.980619859,0.987099295
9977,0.299621775,0.460243561
10112,0.015412781,0.013319768
10389,0.004141176,0.004705882
11255,0.9718,0.991
11314,0.063046126,0.074380496
11449,0.018686543,0.012079321
11726,0.001,0.001
12592,0.967588235,0.977941176
12651,0.323541177,0.381705883
13386,0.9626131,0.9626131
13988,0.7221,0.8325
14123,0.00514,0.0045
15325,0.73932173,0.921808651
15460,0.00424,0.0036
16060,0.8345841,0.8345841
16603,0.7986,0.821
16662,0.162869754,0.23274877
16797,0.043257803,0.036456937
17074,0.002,0.002
17940,0.977353731,0.981791279
17999,0.275644204,0.285816472
18134,0.018037689,0.017124749
18411,0.035241355,0.037197575
19336,0.344584543,0.406522714
19471,0.010599044,0.009847519
20614,0.817873535,0.841367676
20673,0.0244,0.05
20808,0.05566,0.0419
21085,0.001,0.001
21951,0.998,0.998
22010,0.599972429,0.639508765
22145,0.019875632,0.018498839
22422,0.009329412,0.010647059
23288,0.996,0.996
23347,0.225,0.337
23435,6.00E-05,6.00E-05
23482,0.007267862,0.005084255
23759,0.003,0.003
24082,0.983232995,0.977751122
24684,0.674724231,0.796021153
24819,0.004661711,0.004428359
25419,0.98956598,0.98956598
25962,0.944694118,0.983470588
26021,0.113710588,0.134152941
26156,0.02021972,0.01943567
26433,0.01653262,0.015408693
27299,0.7312,0.76
27358,0.019917166,0.027985828
27493,0.105131884,0.097408048
27770,0.012550438,0.011451543
28695,0.77911345,0.921543492
29973,0.9408,0.976
30032,0.070413462,0.115267308
30167,0.0523,0.0427
30444,0.001244444,0.001244444
31310,0.8554,0.881
31369,0.139381027,0.276935363
31504,0.049680162,0.041009876
31781,0.003,0.003
32647,0.9896,0.996
32706,0.311153971,0.438969855
32841,0.008416156,0.007389199
33984,0.963280212,0.967621748
34043,0.058153646,0.073123135
34178,0.063062793,0.066113964
34455,0.245501305,0.240941556
35321,0.961753158,0.971803935
35380,0.359766836,0.507367455
35515,0.018855295,0.014662241
36717,0.466749206,0.546546032
36852,0.00844359,0.008337478
37452,0.957838077,0.959286935
37995,0.995858824,0.995294118
38054,0.391313867,0.607107731
38189,0.013862554,0.012564739
38789,0.584854787,0.683092438
39332,0.741741176,0.796705882
39391,0.008372823,0.011864117
39526,0.133226344,0.105085773
39803,0.0112,0.008
40669,0.740352941,0.749764706
40728,0.006862964,0.005927024
40863,0.12121385,0.110753414
41140,0.014514783,0.013261463
41463,0.9402675,0.9402675
42006,0.8698,0.889
42065,0.094626668,0.14180455
42200,0.025794703,0.023892946
42477,0.003,0.003
42800,0.995654496,1.045675679
43343,0.6072,0.684
43402,0.005130588,0.006052941
43537,0.049550917,0.034060246
43814,0.0092,0.006
44680,0.698614026,0.731927217
44739,0.037164754,0.06862377
44874,0.112525581,0.104058815
45151,0.0482,0.045
46017,0.998,0.998
46076,0.737223617,0.750125181
46211,0.005812736,0.005241901
47354,0.95298294,0.961531727
47413,0.544470588,0.64235294
48148,0.545046265,0.545046265
48691,0.661,0.677
48750,0.004170063,0.005989849
48885,0.14794,0.1377
50028,0.485952941,0.501764706
50087,0.010601675,0.019119393
50222,0.167878757,0.158111593
50499,0.0312,0.028
52159,0.9492944,0.9492944
52702,0.976923202,0.988616012
52761,0.375894106,0.443470531
52896,0.009156822,0.010264523
53173,0.002929522,0.002647612
54039,0.8938,0.929
54098,0.203814779,0.379073896
54186,0.000366,0.000366
54233,0.018787819,0.015547872
54833,0.945390227,0.973743937
55376,0.908082353,0.912411765
55435,0.269666604,0.47633302
55570,0.020040456,0.017966395
55847,0.005,0.005
56772,0.0274,0.037
56907,0.087951355,0.080717889
57184,0.001,0.001
58050,0.4546,0.461
58109,0.004229356,0.006434728
58244,0.165459164,0.153652486
58521,0.012657529,0.011287644
59387,0.7328,0.752
59446,0.033610758,0.057665616
59581,0.107789741,0.098177226
59858,0.0324,0.026
60724,0.961189662,0.965948312
60783,0.297364698,0.350823491
60918,0.010379545,0.010228406
61195,0.003,0.003
62061,0.792007571,0.798895916
62120,0.020382212,0.02991106
62255,0.122015956,0.111187423
62532,0.0388,0.026
62855,0.9905279,0.9905279
63398,0.985,0.985
63457,0.448238144,0.574057403
63592,0.00596,0.005
64192,0.9865396,0.9865396
64735,0.927907692,0.935538462
64794,0.125199435,0.152035851
64882,0.000289533,0.000289533
64929,0.006480715,0.006781043
65206,0.001,0.001
66866,0.9934184,0.9934184
67468,0.426885893,0.503629463
67603,0.00406,0.0031
68746,0.998,0.998
68805,0.562982919,0.737714595
68940,0.00443737,0.003220663
69540,0.974162848,0.979014558
70142,0.841668075,0.827840442
70277,0.004422784,0.003631972
71420,0.8962,0.925
71479,0.01899967,0.030198352
71614,0.09165002,0.082567643
71891,0.0184,0.012
72816,0.407506783,0.415446151
72951,0.013595743,0.013451763
73551,0.845013358,0.845013358
74094,0.827553883,0.812791623
74153,0.198546574,0.286332869
74288,0.0308,0.0276
74565,0.009560961,0.008477201
75431,0.840564706,0.858823529
75490,0.1368,0.252
75625,0.026398703,0.023751186
75902,0.006188235,0.006941176
76768,0.986588235,0.996941176
76827,0.176137151,0.239485756
76962,0.025829185,0.021646061
77239,0.001,0.001
77562,0.957836124,1.024124621
78105,0.8868,0.906
78164,0.06598,0.0855
78299,0.019392695,0.016807386
78576,0.006929876,0.005205511
79501,0.017794667,0.026688411
79636,0.114715194,0.103175972
79913,0.057143208,0.066229412
80236,0.368626252,0.319851297
80838,0.004399798,0.005598988
80973,0.061439746,0.053198809
81250,0.00875903,0.004926484
81573,0.953803498,0.949247629
82116,0.991,0.991
82175,0.679868056,0.757906052
82310,0.005401644,0.003268597
83453,0.4354,0.493
83512,0.004175258,0.006076292
83647,0.088609476,0.066421161
83924,0.0186,0.009
84849,0.804856696,0.927128888
85584,0.9961792,0.9961792
86127,0.955611765,0.974058824
86186,0.114106727,0.134620397
86321,0.02232097,0.022332473
86598,0.001,0.001
86921,0.976781811,0.986622403
87523,0.84562537,0.996926852
87658,0.00342,0.0031
88258,0.990709503,0.980166314
88860,0.81466,1.4297
88995,0.00432,0.004
90197,0.313756286,0.425181432
91475,0.898406537,0.92225494
91534,0.060383908,0.071239358
91669,0.072676155,0.063267685
91946,0.05349221,0.040116217
92269,0.784851572,0.834178259
92812,0.877000263,0.897001317
92871,0.072217532,0.108772531
93006,0.08446429,0.072782663
93283,0.014611765,0.017058824
94149,0.9554,0.981
94208,0.088464986,0.111924928
94343,0.023072114,0.020585604
94620,0.001244444,0.001244444
94943,0.99047862,0.99047862
95545,0.777674347,0.878691841
95680,0.00442,0.0041
96280,0.663027382,0.663027382
96823,0.8192,0.864
96882,0.047514592,0.08357296
97017,0.081263603,0.072493119
97294,0.0172,0.014
98160,0.998,0.998
98219,0.413688082,0.587359703
98354,0.00466,0.0037
99556,0.637065558,0.749898612
100834,0.967,0.967
100893,0.235016124,0.283480618
101028,0.01434,0.0137
102171,0.996044444,0.996044444
102230,0.476654836,0.514856391
103508,0.919752941,0.938764706
103567,0.0794,0.105
103702,0.037047118,0.032851909
103979,0.007570487,0.005347954
104302,0.710994309,0.77061332
104845,0.706371816,0.739159577
104904,0.00859341,0.011766036
105039,0.119795529,0.106092056
105316,0.016658824,0.019294118
105595,0.009,0.009
106182,0.657469505,0.715347526
106241,0.023101282,0.027254321
106376,0.146,0.1348
106653,0.039740676,0.042193368
107519,0.941670588,0.972352941
107578,0.138,0.138
107713,0.039573662,0.037178393
107990,0.012517647,0.014588235
108856,0.622544295,0.623454625
108915,0.072,0.072
109050,0.08396,0.0766
109327,0.023,0.023
109650,0.9286576,0.9286576
110193,0.866878415,0.890392073
110252,0.1068,0.158
110387,0.027085427,0.023980742
110664,0.0062,0.003
110987,0.9567887,0.9567887
111589,0.679603725,0.806584567
112324,0.9663615,0.9663615
112926,0.590342992,0.819714958
113061,0.007534923,0.007089269
114263,0.948635294,1.119176471
114398,0.002680486,0.002165077
115541,0.885188235,0.917941176
115600,0.045225653,0.073633474
115735,0.067160095,0.059438533
116012,0.003,0.003
116335,0.993481999,1.024300395
116878,0.8258,0.845
116937,0.06603444,0.098721211
117072,0.036913134,0.032468055
117349,0.003,0.003
118215,0.954458824,0.960294118
118274,0.099771159,0.117487881
118409,0.021757908,0.018328676
118686,0.001,0.001
119552,0.8332,0.846
119611,0.0093,0.0093
119746,0.038036458,0.03453037
120346,0.9986051,0.9986051
120889,0.998,0.998
120948,0.670490671,0.906120369
121083,0.004400743,0.003551861
123622,0.503876993,0.594262477
123757,0.004923455,0.004436749
124959,0.421313403,0.495406621
125094,0.00412,0.0038
126237,0.932,0.932
126296,0.2486,0.399
126431,0.019065515,0.017215984
126708,0.01810197,0.013845302
127031,0.9999917,0.9999917
127633,0.784269293,0.949346466
127768,0.00342,0.0031
128368,0.990023833,0.971391673
128911,0.962568476,0.96084238
128970,0.225871311,0.329356557
129105,0.021757366,0.019756246
129705,0.9876927,0.9876927
130248,0.93347983,0.932163239
130307,0.044588821,0.062144107
130442,0.026304252,0.019887758
131585,0.583656441,0.610282206
131644,0.0795,0.0795
131779,0.086928706,0.073831079
132056,0.0624,0.056
132922,0.640155637,0.662836117
132981,0.062823529,0.074117647
133116,0.065124697,0.062470917
134259,0.985675161,0.981274581
134453,0.033113175,0.041730439
135053,0.9936807,0.9936807
135596,0.976,0.992
135655,0.792110914,0.800164115
135790,0.004639323,0.003306437
138270,0.99,0.99
138329,0.378597108,0.500985538
138464,0.011338817,0.011405415
139064,0.9492139,0.9492139
139607,0.8728,0.908
139666,0.146902353,0.173311767
139801,0.035220512,0.027461964
140078,0.001,0.001
140401,0.831680324,0.86071562
140944,0.6296,0.7
141003,0.019573574,0.033097315
141138,0.08664,0.0732
141415,0.002,0.002
142281,0.984,0.984
142340,0.647087764,0.849587138
142475,0.010535661,0.009309658
143075,0.92439143,0.92439143
143677,0.199217767,0.234716541
143812,0.011266818,0.00822173
144412,0.7515594,0.7515594
144955,0.8056,0.812
145014,0.037880793,0.052053775
145149,0.114994816,0.072282919
145426,0.226755904,0.242590878
146292,0.6988,0.734
146351,0.00639503,0.00303023
146486,0.094398964,0.080170892
146763,0.014738482,0.009260914
147823,0.019038339,0.013268191
149025,0.657618709,0.685066734
149760,0.970545452,0.970545452
150303,0.941152941,0.953764706
150362,0.549531607,0.751658034
150497,0.008298323,0.00667349
151699,0.836269339,1.024546693
151834,0.002810758,0.001856308
153036,0.495543263,0.584636314
153771,0.92565742,0.92565742
154314,0.993,0.993
154373,0.380086843,0.448434216
154508,0.01197285,0.010650729
155651,0.45390648,0.485066386
155710,0.006805933,0.008029664
155845,0.069562893,0.060311607
156122,0.005689663,0.003643967
156988,0.772123133,0.832615667
157047,0.009658647,0.009658647
157182,0.097273216,0.076398366
157459,0.12245741,0.123086984
158325,0.9968,1
158384,0.589496088,0.71948044
158519,0.008106006,0.008253701
158796,0.004141176,0.004705882
159662,0.9774,0.987
159721,0.205109178,0.373545888
159856,0.016812023,0.012039185
160133,0.001,0.001
160999,0.595392052,0.652960259
161058,0.009636994,0.014104195
161193,0.150923047,0.137736047
161470,0.011758648,0.009802431
162395,0.491078512,0.57939256
162530,0.006825023,0.006933743
163673,0.939894118,0.943470588
163732,0.041358824,0.048794118
163867,0.039510085,0.03932792
164467,0.760693155,0.822936577
165010,0.483094118,0.515470588
165069,0.018740755,0.040090988
165204,0.094703254,0.085664276
165481,0.006235294,0.007176471
165804,0.970090934,0.971200259
166347,0.996302566,0.998158604
166406,0.227228711,0.302439012
166541,0.016430292,0.017864978
166818,0.012517647,0.014588235
167141,0.943585246,0.940110014
167684,0.928284691,0.945423457
167743,0.223228256,0.283741282
167878,0.018030168,0.016613065
168155,0.003,0.003
169021,0.894294118,0.891470588
169080,0.142621272,0.168261051
169215,0.043614964,0.039363095
169815,0.93142078,0.93142078
170358,0.9534,0.963
170417,0.211134818,0.237674092
170505,0.00021784,0.00021784
170552,0.020357292,0.016969361
170829,0.006235294,0.007176471
171754,0.67407221,0.795253753
171889,0.004218417,0.003892087
172489,0.965075807,0.942264367
173032,0.7954,0.837
173091,0.102781182,0.147886271
173226,0.034317688,0.025928549
173503,0.001,0.001
173826,0.96933422,0.96933422
174369,0.980468255,0.981592647
174428,0.285900137,0.285900137
174563,0.008335104,0.005286446
175163,0.89799902,0.942906506
175706,0.816793597,0.830881572
175765,0.241893995,0.329384335
175900,0.036427789,0.031875574
176177,0.001,0.001
176500,0.862376822,0.911554111
177043,0.46361452,0.486121083
177102,0.00946599,0.010081752
177237,0.111606883,0.078268005
177514,0.115076401,0.113100244
178380,0.7928,0.844
178439,0.002171284,0.002171284
178574,0.06044,0.0534
178851,0.006843967,0.004996768
179174,0.883821304,0.899360922
179717,0.875582755,0.908857017
179776,0.050632643,0.059738785
179911,0.055234923,0.054298166
180188,0.1406,0.131
181054,0.844775941,0.874841594
181113,0.016248886,0.024844432
181248,0.051239654,0.042327907
181525,0.004,0.004
181848,0.9947973,0.9947973
182450,0.898428524,1.059342619
182585,0.00484,0.0042
183728,0.969,0.985
183787,0.360027369,0.381076778
184522,0.9949954,0.9949954
185124,0.701995164,0.710329685
185259,0.006190013,0.005548588
186402,0.8458,0.865
186461,0.047755415,0.082777076
186596,0.028242781,0.026036662
186873,0.001,0.001
187196,0.461725562,0.494178226
187739,0.4854,0.511
187798,0.004674759,0.00775817
187933,0.145046109,0.113243964
188210,0.007808364,0.005915098
189076,0.6114,0.637
189135,0.077499711,0.116698556
189270,0.142926873,0.128766816
189547,0.0352,0.032
190413,0.968600026,0.973740348
191207,0.991776653,0.989212121
191809,0.909875389,1.072176943
191944,0.003540548,0.002684181
193087,0.8976,0.92
193146,0.174651182,0.206055909
193281,0.012338246,0.011303362
193881,0.679307,0.679307
194424,0.905352941,0.914764706
194483,0.070513953,0.070513953
194618,0.094589144,0.087503782
194895,0.001,0.001
195955,0.023537391,0.021686957
196555,0.975307516,0.976412421
197098,0.9324,0.942
197157,0.256745934,0.392129672
197292,0.021117026,0.019173381
197569,0.007782754,0.005857015
198435,0.3792,0.392
198494,0.01874821,0.022118675
198629,0.070522723,0.063587658
198906,0.007089635,0.007621317
