,2008 [YR2008],2012 [YR2012]
559,0.49994605,0.639730248
618,0.017369913,0.017369913
753,0.108618089,0.098081745
1030,0.001,0.001
1896,0.961,0.961
1955,0.204622395,0.421667359
2090,0.0203,0.0203
2690,0.919733539,0.919733539
3233,0.844,0.844
3292,0.11119671,0.185413273
3427,0.02327213,0.021498442
5966,0.851962412,1.56188273
6101,0.0038,0.0038
7244,0.502,0.502
7303,0.044923525,0.096617625
7438,0.1871,0.1871
7715,0.021654014,0.024270072
8038,0.5,0.64
8581,0.979,0.979
8640,0.37756315,0.52781575
8775,0.0118,0.0118
9918,0.979,0.979
9977,0.298926001,0.456764691
10112,0.015290977,0.012674711
10389,0.004109244,0.004546218
11255,0.967,0.967
11314,0.065436462,0.086332172
11449,0.024270544,0.031821464
11726,0.001,0.001
12592,0.965,0.965
12651,0.334633385,0.437166925
13386,0.936419076,0.936419076
13988,0.6945,0.6945
14123,0.0051,0.0043
15325,0.741024866,0.968508732
15460,0.0042,0.0034
16060,0.8345841,0.8345841
16603,0.793,0.793
16662,0.1454,0.1454
16797,0.0453,0.0453
17074,0.002,0.002
17940,0.976,0.976
17999,0.28,0.32
18134,0.017997111,0.016855936
18411,0.036044782,0.04022391
19336,0.36516263,0.509413148
19471,0.010548805,0.009609399
20614,0.812,0.812
20673,0.025288964,0.04879979
20808,0.0548,0.0376
21085,0.001,0.001
21951,0.998,0.998
22010,0.611,0.727
22145,0.01981954,0.018098549
22422,0.008994021,0.010448644
23288,0.996,0.996
23347,0.197,0.197
23435,8.98E-05,8.05E-05
23482,0.0079,0.0079
23759,0.003088722,0.003443609
24082,0.991941876,1.016123779
24684,0.685909607,0.862006149
24819,0.004652139,0.004360449
25419,0.973647511,0.973647511
25962,0.935,0.935
26021,0.117586703,0.120110025
26156,0.0205,0.0205
26433,0.016405279,0.015374491
27299,0.724,0.724
27358,0.020303364,0.029916819
27493,0.104264855,0.09461006
27770,0.012610149,0.011959444
28695,0.788015328,0.96605288
29973,0.932,0.932
30032,0.073216827,0.129284135
30167,0.0517,0.0397
30444,0.002,0.002
31310,0.849,0.849
31369,0.147978173,0.319921093
31504,0.049100203,0.038262345
31781,0.003,0.003
32647,0.988,0.988
32706,0.318591685,0.476158425
32841,0.0086,0.0086
33984,0.962,0.962
34043,0.056456726,0.065146608
34178,0.063253491,0.067067455
34455,0.246183631,0.249346611
35321,0.959,0.959
35380,0.396793629,0.621762925
35515,0.018569118,0.013327802
36717,0.471736508,0.57148254
36852,0.0085,0.0085
37452,0.99899888,0.967369308
37995,0.996,0.996
38054,0.393893636,0.71667305
38189,0.013753192,0.012130923
38789,0.498188133,0.549988003
39332,0.748309244,0.829546218
39391,0.008607283,0.013036413
39526,0.131257931,0.096082216
39803,0.012,0.012
40669,0.738,0.738
40728,0.007424074,0.00912037
40863,0.120342312,0.107266768
41140,0.014039718,0.01205621
41463,0.945731281,0.943964726
42006,0.865,0.865
42065,0.097575286,0.156547638
42200,0.025618378,0.023241183
42477,0.003,0.003
42800,0.662658038,0.518625853
43343,0.605082041,0.673410204
43402,0.005645418,0.008323751
43537,0.0532,0.0532
43814,0.009190686,0.007229389
44680,0.69,0.69
44739,0.03970369,0.093991033
44874,0.111806976,0.101223519
45151,0.048088029,0.045175329
46017,0.998,0.998
46076,0.74,0.772
46211,0.00579092,0.005077376
47354,0.951,0.951
47413,0.52,0.52
48148,0.442682505,0.24350976
48691,0.657,0.657
48750,0.004193445,0.006287932
48885,0.1473,0.1345
50028,0.482,0.482
50087,0.010759222,0.018663544
50222,0.167248446,0.155039491
50499,0.032939909,0.036699547
52159,0.5,0.64
52702,0.974,0.974
52761,0.385573687,0.491868437
52896,0.009171028,0.010555654
53173,0.003,0.003
54039,0.885,0.885
54098,0.214768474,0.43384237
54186,0.5,0.64
54233,0.018484774,0.01443484
54833,0.893568184,0.993377194
55376,0.907,0.907
55435,0.267255264,0.463849026
55570,0.019925571,0.017332994
55847,0.005,0.005
56772,0.028120133,0.040600665
56907,0.087514194,0.078472361
57184,0.001,0.001
58050,0.453,0.453
58109,0.004350343,0.007089947
58244,0.164848955,0.150090608
58521,0.013,0.013
59387,0.728,0.728
59446,0.035114187,0.065182759
59581,0.107337176,0.095321533
59858,0.034,0.034
60724,0.96,0.96
60783,0.309905563,0.413527814
60918,0.010374431,0.010185508
61195,0.003088722,0.003443609
62061,0.79,0.79
62120,0.021833742,0.037879459
62255,0.121344945,0.107809279
62532,0.03984326,0.035205223
62855,0.954963798,0.954963798
63398,0.985,0.985
63457,0.457022201,0.614754301
63592,0.00654584,0.007391251
64192,0.9865396,0.9865396
64735,0.926,0.926
64794,0.125515542,0.155004441
64882,0.5,0.64
64929,0.006500894,0.006876303
65206,0.001,0.001
66866,0.947057806,0.947057806
67468,0.441374104,0.57607052
67603,0.005079904,0.006766982
68746,0.998,0.998
68805,0.574004637,0.792823185
68940,0.004404754,0.003397951
69540,0.965233695,0.965233695
70142,0.860881584,0.903207922
70277,0.00437848,0.003389965
71420,0.889,0.889
71479,0.019699588,0.03369794
71614,0.095236543,0.098562151
71891,0.018175294,0.012341634
72816,0.411429541,0.446256814
72951,0.013569679,0.013389704
73551,0.844308595,0.844308595
74094,0.831,0.831
74153,0.204279278,0.314996389
74288,0.0306,0.0266
74565,0.009600679,0.009216032
75431,0.836,0.836
75490,0.144,0.288
75625,0.026223379,0.022913982
75902,0.006164706,0.006823529
76768,0.984,0.984
76827,0.180055533,0.259077665
76962,0.025486482,0.020257576
77239,0.001,0.001
77562,0.893222195,0.995550634
78105,0.882,0.882
78164,0.0672,0.0916
