,2008 [YR2008],2012 [YR2012]
559,0.5,0.64
618,0.017397996,0.017397996
753,0.108618089,0.098081745
1030,0.001,0.001
1896,0.961012507,0.961193278
1955,0.205027678,0.506595007
2090,0.0194,0.0158
2690,0.935902601,0.926648384
3233,0.836,0.804
3292,0.11209442,0.187476895
3427,0.02327213,0.021498442
5966,0.92803153,1.80535765
6101,0.003655234,0.002991218
7244,0.508992442,0.536962212
7303,0.044923525,0.096617625
7438,0.183561357,0.1752717
7715,0.021051033,0.022500536
8038,0.9182146,0.9182146
8581,0.979388932,0.980944662
8640,0.38,0.54
8775,0.011227994,0.008939256
9918,0.980994579,0.989294008
9977,0.300659592,0.465432642
10112,0.015290977,0.012674711
10389,0.004009412,0.004047061
11255,0.973,0.997
11314,0.065426064,0.086280182
11449,0.01639624,0.007193025
11726,0.001,0.001
12592,0.967934738,0.981030913
12651,0.333734419,0.432672095
13386,0.9626131,0.9626131
13988,0.729,0.867
14123,0.0051,0.0043
15325,0.742386509,0.97094355
15460,0.0042,0.0034
16060,0.841073642,0.873478768
16603,0.8,0.828
16662,0.168209446,0.259447228
16797,0.042711713,0.032633426
17074,0.001142467,0.001057242
17940,0.977823272,0.983462692
17999,0.28,0.32
18134,0.017997111,0.016855936
18411,0.035329135,0.037809348
19336,0.364968911,0.508444554
19471,0.010548805,0.009609399
20614,0.819281857,0.847072814
20673,0.026,0.058
20808,0.0548,0.0376
21085,0.001,0.001
21951,0.998,0.998
22010,0.611,0.727
22145,0.01981954,0.018098549
22422,0.009325589,0.010627946
23288,0.996,0.996
23347,0.232,0.372
23435,5.61E-05,-5.93E-05
23482,0.007096584,0.004005321
23759,0.003832908,0.004799561
24082,0.984622729,0.981249377
24684,0.685825574,0.86181566
24819,0.004652139,0.004360449
25419,0.980966848,0.974055868
25962,0.947057143,0.995285714
26021,0.115898534,0.147013877
26156,0.020110061,0.018783142
26433,0.016423913,0.015194901
27299,0.732999931,0.768999657
27358,0.020311777,0.029958886
27493,0.104264855,0.09461006
27770,0.012419084,0.011018767
28695,0.788015328,0.96605288
29973,0.943,0.987
30032,0.073216827,0.129284135
30167,0.0517,0.0397
30444,0.001027778,0.001027778
31310,0.857683295,0.890878458
31369,0.147978173,0.319921093
31504,0.049100203,0.038262345
31781,0.003,0.003
32647,0.989889783,0.997448913
32706,0.318492801,0.475664005
32841,0.008326051,0.006760792
33984,0.963303031,0.968217014
34043,0.059747648,0.079158486
34178,0.063253491,0.067067455
34455,0.244781932,0.236829561
35321,0.962395202,0.974302082
35380,0.374047541,0.560674192
35515,0.018569118,0.013327802
36717,0.471736508,0.57148254
36852,0.008419507,0.00817801
37452,0.984672994,1.015835224
37995,0.995914286,0.995571429
38054,0.381577711,0.618732216
38189,0.013753192,0.012130923
38789,0.6026929,0.8156097
39332,0.746,0.818
39391,0.008711581,0.013515887
39526,0.131257931,0.096082216
39803,0.011,0.007
40669,0.740971429,0.752857143
40728,0.006827328,0.005643544
40863,0.120342312,0.107266768
41140,0.014222245,0.014154837
41463,0.939417115,0.949860946
42006,0.870778148,0.893890741
42065,0.097575286,0.156547638
42200,0.025618378,0.023241183
42477,0.002595425,0.002050329
42800,0.994624287,1.065080394
43343,0.612,0.708
43402,0.005645365,0.008321418
43537,0.048645274,0.028693571
43814,0.009174623,0.007083938
44680,0.700673824,0.742194127
44739,0.040471842,0.09883175
44874,0.111806976,0.101223519
45151,0.048031203,0.044449029
46017,0.998,0.998
46076,0.74,0.772
46211,0.00579092,0.005077376
47354,0.953454543,0.964104705
47413,0.595,0.895
48148,0.563235577,0.535825768
48691,0.661622463,0.680553979
48750,0.004214253,0.006306257
48885,0.1473,0.1345
50028,0.486971429,0.506857143
50087,0.010851341,0.018010624
50222,0.167248446,0.155039491
50499,0.030246883,0.025371769
52159,0.9492944,0.9492944
52702,0.976955945,0.989585253
52761,0.385731881,0.492659405
52896,0.009171028,0.010555654
53173,0.002789301,0.002535511
54039,0.896120914,0.940128584
54098,0.239595748,0.691399148
54186,0.00031325,0.000111159
54233,0.018484774,0.01443484
54833,0.932833593,0.928027313
55376,0.908182725,0.912913626
55435,0.277396409,0.44552236
55570,0.019925571,0.017332994
55847,0.005,0.005
56772,0.028108407,0.040542034
56907,0.087514194,0.078472361
57184,0.001,0.001
58050,0.455,0.463
58109,0.00436319,0.007122307
58244,0.164848955,0.150090608
58521,0.013,0.013
59387,0.733596242,0.756478252
59446,0.035114187,0.065182759
59581,0.107337176,0.095321533
59858,0.03229123,0.027092833
60724,0.961133734,0.966973097
60783,0.309774773,0.412873863
60918,0.010374431,0.010185508
61195,0.003,0.003
62061,0.792546223,0.801643146
62120,0.021819923,0.03760652
