,2008 [YR2008],2012 [YR2012]
559,0.5,0.64
618,0.016928764,0.00864382
753,0.1085,0.0965
1030,0.001,0.001
1896,0.96,0.956
1955,0.204622395,0.421667359
2090,0.0194,0.0158
2690,0.9355048,0.9215124
3233,0.836,0.804
3292,0.115263962,0.198272186
3427,0.0231,0.0191
5966,0.92803153,1.80535765
6101,0.0036,0.0028
7244,0.509,0.537
7303,0.044923525,0.096617625
7438,0.1831,0.1671
7715,0.022,0.026
8038,0.9182146,0.9182146
8581,0.98,0.984
8640,0.38,0.54
8775,0.0113,0.0093
9918,0.981,0.989
9977,0.309660637,0.510437869
10112,0.0153,0.0129
10389,0.004,0.004
11255,0.973,0.997
11314,0.06410719,0.079685814
11449,0.0199,0.0151
11726,0.001,0.001
12592,0.968,0.98
12651,0.338,0.454
13386,0.9774874,1.0369846
13988,0.729,0.867
14123,0.0051,0.0043
15325,0.7514,0.9822
15460,0.0042,0.0034
16060,0.8314481,0.8189041
16603,0.8,0.828
16662,0.170878227,0.272791135
16797,0.0425,0.0313
17074,0.002,0.002
17940,0.977,0.981
17999,0.28,0.32
18134,0.0181,0.0177
18411,0.036,0.04
19336,0.375760476,0.56240238
19471,0.0106,0.0098
20614,0.819,0.847
20673,0.026,0.058
20808,0.0548,0.0376
21085,0.001,0.001
21951,0.998,0.998
22010,0.611,0.727
22145,0.02,0.0196
22422,0.009,0.009
23288,0.996,0.996
23347,0.232,0.372
23435,0,-0.00024
23482,0.0071,0.0039
23759,0.003,0.003
24082,0.9993191,1.0530099
24684,0.6916,0.8804
24819,0.0046,0.0042
25419,0.9873177,0.9775949
25962,0.947,0.995
26021,0.113183219,0.131516095
26156,0.0201,0.0185
26433,0.017,0.017
27299,0.733,0.769
27358,0.020421457,0.030507285
27493,0.1033,0.0821
27770,0.013,0.013
28695,0.788015328,0.96605288
29973,0.943,0.987
30032,0.073216827,0.129284135
30167,0.0517,0.0397
30444,0.003,0.007
31310,0.857,0.889
31369,0.147978173,0.319921093
31504,0.0489,0.0365
31781,0.002,-0.002
32647,0.99,0.998
32706,0.307176143,0.419080715
32841,0.0084,0.0076
33984,0.963,0.967
34043,0.06270067,0.10230335
34178,0.0615,0.0583
34455,0.244,0.228
35321,0.962,0.974
35380,0.335816198,0.44388099
35515,0.0185,0.0125
36717,0.471736508,0.57148254
36852,0.0084,0.008
37452,0.9902927,1.1246331
37995,0.996,0.996
38054,0.4019,0.6639
38189,0.0136,0.0108
38789,0.6026929,0.8156097
39332,0.746,0.818
39391,0.008672924,0.01336462
39526,0.1315,0.0931
39803,0.011,0.007
40669,0.741,0.753
40728,0.007424074,0.00912037
40863,0.12,0.1012
41140,0.014,0.01
41463,0.9304604,0.891232
42006,0.871,0.895
42065,0.097575286,0.156547638
42200,0.0255,0.0215
42477,0.003,0.003
42800,0.9835176,0.9849912
43343,0.612,0.708
43402,0.005116433,0.005982165
43537,0.0485,0.0297
43814,0.009,0.005
44680,0.7,0.74
44739,0.038312552,0.07436276
44874,0.111,0.0934
45151,0.048,0.044
46017,0.998,0.998
46076,0.74,0.772
46211,0.0058,0.0054
47354,0.954,0.966
47413,0.595,0.895
48148,0.6694185,1.0093865
48691,0.662,0.682
48750,0.004404728,0.006991
48885,0.1473,0.1345
50028,0.487,0.507
50087,0.011134032,0.02178118
50222,0.1672,0.1544
50499,0.031,0.027
52159,0.9492944,0.9492944
52702,0.978,0.994
52761,0.373022488,0.42911244
52896,0.0091,0.0091
53173,0.003,0.003
54039,0.896,0.94
54098,0.214768474,0.43384237
54186,0.000321,0.000141
54233,0.0182,0.011
54833,0.9269469,0.8815273
55376,0.908,0.912
55435,0.282583255,0.540916275
55570,0.0199,0.0175
55847,0.005,0.005
56772,0.028,0.04
56907,0.0876,0.0792
57184,0.001,0.001
58050,0.455,0.463
58109,0.004439464,0.00739732
