,2008 [YR2008],2012 [YR2012]
559,0.5,0.64
618,0.019,0.019
753,0.108618089,0.098081745
1030,0,0
1896,0.960859364,0.958624639
1955,0.204622395,0.421667359
2090,0.0194,0.0158
2690,0.939231072,0.959613631
3233,0.836,0.804
3292,0.112102401,0.187495953
3427,0.02327213,0.021498442
5966,0.92803153,1.80535765
6101,0.003653693,0.002987425
7244,0.509,0.537
7303,0.044923525,0.096617625
7438,0.1831,0.1671
7715,0.020999562,0.02240559
8038,0.9182146,0.9182146
8581,0.979294118,0.980470588
8640,0.38,0.54
8775,0.0113,0.0093
9918,0.981021822,0.989109109
9977,0.309660637,0.510437869
10112,0.015290977,0.012674711
10389,0.004176471,0.004882353
11255,0.973,0.997
11314,0.063754524,0.077922486
11449,0.018084088,0.009825873
11726,0,0
12592,0.968235294,0.981176471
12651,0.327176471,0.399882357
13386,0.9626131,0.9626131
13988,0.729,0.867
14123,0.0051,0.0043
15325,0.7514,0.9822
15460,0.0042,0.0034
16060,0.8345841,0.8345841
16603,0.8,0.828
16662,0.167237061,0.254585305
16797,0.04274755,0.034253444
17074,0.002,0.002
17940,0.977678079,0.98320709
17999,0.277055267,0.289770665
18134,0.017997111,0.016855936
18411,0.035299097,0.037741082
19336,0.348455678,0.425878392
19471,0.010548805,0.009609399
20614,0.819406938,0.847253111
20673,0.026,0.058
20808,0.0548,0.0376
21085,0,0
21951,0.998,0.998
22010,0.604465621,0.653886635
22145,0.01981954,0.018098549
22422,0.009411765,0.011058824
23288,0.996,0.996
23347,0.232,0.372
23435,7.72E-05,5.62E-06
23482,0.007109815,0.004380209
23759,0.003,0.003
24082,0.982567144,0.975714803
24684,0.682305288,0.833926441
24819,0.004652139,0.004360449
25419,0.989520375,0.989520375
25962,0.947117647,0.995588235
26021,0.114988235,0.140541176
26156,0.020149563,0.019168642
26433,0.016413627,0.015005745
27299,0.733,0.769
27358,0.020421457,0.030507285
27493,0.104264855,0.09461006
27770,0.012436009,0.011059488
28695,0.788015328,0.96605288
29973,0.943,0.987
30032,0.073216827,0.129284135
30167,0.0517,0.0397
30444,0.001055556,0.001055556
31310,0.857686247,0.890778816
31369,0.147978173,0.319921093
31504,0.049100203,0.038262345
31781,0.003,0.003
32647,0.99,0.998
32706,0.31914241,0.47891205
32841,0.008370645,0.007095977
33984,0.963594201,0.969012849
34043,0.059492055,0.078203902
34178,0.063253491,0.067067455
34455,0.243027261,0.222829892
35321,0.962433153,0.974951405
35380,0.372659743,0.557364731
35515,0.018569118,0.013327802
36717,0.471736508,0.57148254
36852,0.008429641,0.008298455
37452,0.98846064,0.948716139
37995,0.995823529,0.995117647
38054,0.405042196,0.674784326
38189,0.013753192,0.012130923
38789,0.593702559,0.716499623
39332,0.745176471,0.813882353
39391,0.008591028,0.01295514
39526,0.131257931,0.096082216
39803,0.011,0.007
40669,0.740941176,0.752705882
40728,0.007065028,0.011733775
40863,0.120342312,0.107266768
41140,0.014218591,0.014027486
41463,0.9402675,0.9402675
42006,0.871,0.895
42065,0.097575286,0.156547638
42200,0.025618378,0.023241183
42477,0.002524504,0.00193927
42800,0.99878082,1.061307299
43343,0.612,0.708
43402,0.005188235,0.006341177
43537,0.048638855,0.029275789
43814,0.009,0.005
44680,0.700767367,0.742408746
44739,0.039131049,0.078455244
44874,0.111806976,0.101223519
45151,0.048,0.044
46017,0,0
46076,0.738529591,0.754657102
46211,0.00579092,0.005077376
47354,0.953480905,0.964170263
47413,0.550588235,0.672941176
48148,0.535201206,0.535201206
48691,0.661633366,0.680586175
48750,0.004273039,0.006547772
48885,0.1473,0.1345
50028,0.486941176,0.506705882
50087,0.011134032,0.02178118
50222,0.167248446,0.155039491
50499,0.03031641,0.025659287
52159,0.9492944,0.9492944
52702,0.976887242,0.989036114
52761,0.380117633,0.464588163
52896,0.009171028,0.010555654
53173,0.002334493,0.001676234
54039,0.896,0.94
54098,0.214768474,0.43384237
54186,0.000321,0.000141
54233,0.018484774,0.01443484
54833,0.947162334,0.982604472
55376,0.908352941,0.913764706
55435,0.281232957,0.578323225
55570,0.019925571,0.017332994
55847,0.005,0.005
56772,0.028,0.04
56907,0.087514194,0.078472361
57184,0,0
58050,0.455,0.463
58109,0.004361695,0.007118413
58244,0.164848955,0.150090608
58521,0.012562319,0.009769387
59387,0.734,0.758
59446,0.035114187,0.065182759
59581,0.107337176,0.095321533
59858,0.032,0.024
60724,0.961082478,0.966906443
60783,0.300705873,0.367529364
60918,0.010374431,0.010185508
61195,0.003,0.003
62061,0.792492537,0.801098407
62120,0.020977782,0.032888911
62255,0.121344945,0.107809279
62532,0.038,0.022
62855,1.006000843,1.067892616
63398,0.985,0.985
63457,0.456697673,0.613971735
63592,0.0059,0.0047
64192,0.9865396,0.9865396
64735,0.928115779,0.937508721
64794,0.127274268,0.160819751
64882,0.000213,0.000213
64929,0.006500894,0.006876303
65206,0,0
66866,0.9934184,0.9934184
67468,0.431682366,0.527611829
67603,0.004,0.0028
68746,0,0
68805,0.573903425,0.792317126
68940,0.004371686,0.002850498
69540,0.97496756,0.981032198
70142,0.839510535,0.822228125
70277,0.00437848,0.003389965
71420,0.898,0.934
71479,0.019699588,0.03369794
71614,0.091112621,0.079761653
71891,0.018,0.01
72816,0.408697329,0.418621578
72951,0.013569679,0.013389704
73551,0.835954922,0.835954922
74094,0.826679728,0.808210843
74153,0.204033262,0.31376631
74288,0.0306,0.0266
