Country Name,Country Code,Series Name,Series Code,1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Afghanistan,AFG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.369786136,1.950429571,1.861299883,2.237069422,2.328002758,2.060751318,1.897472751,1.778592618,1.144715113,1.061433481,1.334356678,1.034450985
Albania,ALB,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,4.448451975,3.199297902,2.500385762,2.099713037,1.379028731,1.283081574,1.238243077,1.249208821,1.246359339,1.309292251,1.320034991,1.336844537,1.381158684,1.350005455,1.567769463,1.82076528,1.984868857,1.51721714,1.558591893,1.528266338,1.487082577,1.408458226,1.341473951,1.155336684
Algeria,DZA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.194237699,2.55660378,3.137780742,2.9562443,3.094124505,3.637364334,3.965659634,3.755079887,3.433394,3.820692661,3.700826659,3.251210213,3.283886286,2.834176701,2.643808854,2.923322152,3.024746182,3.848515513,3.5180232,4.325836241,4.461326765,4.961963811,5.556059831,6.237946609
American Samoa,ASM,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,ADO,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,7.679230769,17.5472119,5.709593679,4.707392768,2.447848157,5.972251161,2.642007707,17.33469221,6.392603154,4.524353815,3.510235068,4.722133792,4.162414738,4.834841974,4.714844928,3.362231849,3.758214638,4.386128818,4.244884292,3.495619369,3.593357737,4.876031618,5.400287266,3.515384509
Antigua and Barbuda,ATG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argentina,ARG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.422532823,1.422803061,1.457038533,1.473074534,1.241228405,1.140139111,1.136317072,1.220359548,1.148823687,1.184234644,1.091880479,1.060893646,0.883295359,0.843934081,0.7847769,0.7889733,0.759438884,0.882496325,0.810499365,0.759933854,0.780600599,0.834513592,0.872450095,0.862948056
Armenia,ARM,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.095489753,2.121652479,NA,4.05931198,3.281866893,3.909403452,3.528096049,3.697375386,3.560024873,3.127249385,2.697714749,2.728372214,2.741996705,2.871931363,2.947613156,3.042574701,3.395579363,4.157049908,4.265646056,3.853946441,3.583766919,3.997244557,3.931550782,4.235989201
Aruba,ABW,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
