Country Name,Country Code,Series Name,Series Code,2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,4.550804562,4.639094454,4.315131588,3.7586963,3.161258348,2.718198096,2.485314572,2.525627754,2.736885959,2.983978666,3.135546164,3.164336274,3.033472553,2.802986283
Albania,ALB,Population growth (annual %),SP.POP.GROW,-0.299876697,-0.374149169,-0.417931378,-0.511790116,-0.630911245,-0.755718755,-0.767342959,-0.673894046,-0.496461963,-0.283303108,-0.156175016,-0.124031847,-0.103552395,-0.155183807
Algeria,DZA,Population growth (annual %),SP.POP.GROW,1.258470687,1.256511942,1.295295915,1.363904736,1.436792867,1.507551588,1.589910176,1.682726018,1.77604672,1.872060709,1.948088888,1.974814461,1.940399184,1.86309983
American Samoa,ASM,Population growth (annual %),SP.POP.GROW,0.946074376,0.658488879,0.244976005,-0.244976005,-0.796505718,-1.27670071,-1.519148718,-1.421569628,-1.054880962,-0.576827614,-0.161023347,0.135711011,0.238404968,0.187434723
Andorra,ADO,Population growth (annual %),SP.POP.GROW,4.720793543,5.126303185,4.642944647,3.61784254,2.612605765,1.789041541,0.865725022,-0.165994544,-1.241974138,-2.510551958,-3.724710143,-4.399683922,-4.19194055,-3.229397128
Angola,AGO,Population growth (annual %),SP.POP.GROW,3.45384539,3.547199042,3.55530349,3.507711629,3.448621487,3.406206726,3.37418026,3.35914867,3.353692563,3.3474133,3.331567413,3.306204563,3.269552406,3.226505657
Antigua and Barbuda,ATG,Population growth (annual %),SP.POP.GROW,1.330820512,1.086170222,1.001102924,1.031156608,1.086548225,1.108051179,1.122859329,1.106914885,1.07531016,1.047989749,1.034875307,1.023163952,1.011701141,1.004835565
Argentina,ARG,Population growth (annual %),SP.POP.GROW,1.10909464,1.102473015,1.088568664,1.070230213,1.050166529,1.033983722,1.025392833,1.02680978,1.034454869,1.044287673,1.049809261,1.047065055,1.033055553,1.010993037
Armenia,ARM,Population growth (annual %),SP.POP.GROW,-0.418746421,-0.35600265,-0.344352298,-0.366336612,-0.423993809,-0.468893956,-0.438963628,-0.300313112,-0.088100324,0.151328197,0.348282812,0.46404666,0.465529171,0.383740747
Aruba,ABW,Population growth (annual %),SP.POP.GROW,2.236520048,2.104134709,1.764478212,1.296975011,0.795579246,0.384067624,0.122432875,0.072993424,0.178313751,0.333115822,0.447318552,0.514335276,0.503969821,0.432161961
Australia,AUS,Population growth (annual %),SP.POP.GROW,1.220563785,1.233996663,1.159352162,1.319789554,1.475227945,0.624678435,2.00402174,2.06104513,1.555489589,1.389527316,1.722895219,1.69747275,1.488744923,1.342305215
Austria,AUT,Population growth (annual %),SP.POP.GROW,0.491980464,0.487133895,0.620413127,0.681267248,0.494797775,0.324146535,0.313041438,0.26195319,0.2403943,0.337080842,0.455937472,0.584103986,0.730867277,0.810525812
Azerbaijan,AZE,Population growth (annual %),SP.POP.GROW,0.746173583,0.757650956,0.87542728,1.022265592,1.098586574,1.133855466,2.099854033,2.076148264,1.189787708,1.303000855,1.328763827,1.293447027,1.248208997,1.212017404
"Bahamas, The",BHS,Population growth (annual %),SP.POP.GROW,1.970314006,2.1081643,2.125112873,2.05720208,1.972264265,1.904903779,1.832007998,1.76100387,1.690905423,1.616713861,1.536224957,1.453715074,1.37024992,1.287833609
Bahrain,BHR,Population growth (annual %),SP.POP.GROW,4.291709957,4.873994189,5.913352624,7.050667972,8.168395622,8.723739828,8.33298234,7.00785802,5.252839542,3.482175173,2.08850552,1.181525215,0.92227535,1.117650683
Bangladesh,BGD,Population growth (annual %),SP.POP.GROW,1.816606212,1.726004223,1.605803333,1.47034775,1.326957091,1.203348026,1.125881485,1.109061795,1.134879634,1.172933905,1.199882864,1.216351172,1.214377385,1.198570972
Barbados,BRB,Population growth (annual %),SP.POP.GROW,0.29253108,0.287637672,0.304390794,0.337047754,0.374099112,0.404213949,0.419536308,0.414192513,0.394243135,0.369889455,0.347930381,0.327257096,0.309958314,0.294224087
