Country Name,Country Code,Series Name,Series Code,2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Afghanistan,AFG,Urban population (% of total),SP.URB.TOTL.IN.ZS,21.915,22.237,22.562,22.895,23.237,23.587,23.946,24.313,24.689,25.074,25.468,25.871,26.282,26.703
Albania,ALB,Urban population (% of total),SP.URB.TOTL.IN.ZS,43.501,44.573,45.651,46.731,47.815,48.902,49.991,51.076,52.163,53.247,54.33,55.383,56.409,57.407
Algeria,DZA,Urban population (% of total),SP.URB.TOTL.IN.ZS,61.501,62.284,63.061,63.83,64.593,65.348,66.097,66.822,67.526,68.209,68.87,69.51,70.129,70.727
American Samoa,ASM,Urban population (% of total),SP.URB.TOTL.IN.ZS,88.394,88.297,88.198,88.1,88,87.9,87.799,87.697,87.594,87.5,87.413,87.334,87.264,87.202
Andorra,ADO,Urban population (% of total),SP.URB.TOTL.IN.ZS,91.641,91.207,90.751,90.295,89.838,89.363,88.867,88.352,87.817,87.26,86.708,86.165,85.633,85.115
Angola,AGO,Urban population (% of total),SP.URB.TOTL.IN.ZS,33.895,34.645,35.405,36.169,36.942,37.722,38.509,39.299,40.097,40.9,41.699,42.49,43.274,44.05
Antigua and Barbuda,ATG,Urban population (% of total),SP.URB.TOTL.IN.ZS,31.099,30.465,29.837,29.219,28.607,28.003,27.406,26.819,26.239,25.667,25.135,24.643,24.19,23.773
Argentina,ARG,Urban population (% of total),SP.URB.TOTL.IN.ZS,89.519,89.71,89.899,90.084,90.266,90.445,90.622,90.795,90.966,91.133,91.295,91.452,91.604,91.751
Armenia,ARM,Urban population (% of total),SP.URB.TOTL.IN.ZS,64.283,64.25,64.217,64.184,64.15,64.117,63.997,63.789,63.58,63.371,63.161,62.975,62.812,62.673
Aruba,ABW,Urban population (% of total),SP.URB.TOTL.IN.ZS,45.972,45.606,45.24,44.875,44.511,44.147,43.783,43.421,43.059,42.698,42.364,42.058,41.779,41.528
Australia,AUS,Urban population (% of total),SP.URB.TOTL.IN.ZS,87.541,87.695,87.849,88,88.15,88.298,88.445,88.59,88.733,88.875,89.015,89.153,89.289,89.423
Austria,AUT,Urban population (% of total),SP.URB.TOTL.IN.ZS,65.806,65.812,65.818,65.824,65.829,65.835,65.841,65.847,65.852,65.858,65.864,65.884,65.919,65.968
Azerbaijan,AZE,Urban population (% of total),SP.URB.TOTL.IN.ZS,51.787,51.988,52.189,52.389,52.589,52.79,52.99,53.19,53.401,53.623,53.856,54.1,54.355,54.62
"Bahamas, The",BHS,Urban population (% of total),SP.URB.TOTL.IN.ZS,82.118,82.172,82.226,82.28,82.334,82.388,82.442,82.495,82.549,82.606,82.667,82.732,82.801,82.874
Bahrain,BHR,Urban population (% of total),SP.URB.TOTL.IN.ZS,88.37,88.376,88.386,88.4,88.419,88.441,88.468,88.5,88.535,88.575,88.619,88.667,88.719,88.775
Bangladesh,BGD,Urban population (% of total),SP.URB.TOTL.IN.ZS,24.756,25.429,26.114,26.809,27.517,28.237,28.968,29.709,30.462,31.225,31.99,32.753,33.516,34.277
Barbados,BRB,Urban population (% of total),SP.URB.TOTL.IN.ZS,33.472,33.294,33.116,32.939,32.762,32.586,32.41,32.235,32.06,31.905,31.769,31.652,31.554,31.475
Belarus,BLR,Urban population (% of total),SP.URB.TOTL.IN.ZS,70.939,71.415,71.887,72.354,72.816,73.273,73.726,74.172,74.615,75.046,75.467,75.877,76.277,76.667
Belgium,BEL,Urban population (% of total),SP.URB.TOTL.IN.ZS,97.239,97.292,97.345,97.397,97.448,97.497,97.546,97.594,97.641,97.687,97.732,97.776,97.818,97.858
Belize,BLZ,Urban population (% of total),SP.URB.TOTL.IN.ZS,47.122,46.851,46.58,46.311,46.041,45.771,45.501,45.232,44.963,44.718,44.496,44.298,44.124,43.973
Benin,BEN,Urban population (% of total),SP.URB.TOTL.IN.ZS,38.969,39.297,39.635,39.982,40.338,40.703,41.078,41.461,41.854,42.256,42.667,43.086,43.514,43.95
Bermuda,BMU,Urban population (% of total),SP.URB.TOTL.IN.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bhutan,BTN,Urban population (% of total),SP.URB.TOTL.IN.ZS,27.57,28.688,29.835,30.965,31.712,32.469,33.236,34.01,34.793,35.585,36.368,37.139,37.898,38.644
Bolivia,BOL,Urban population (% of total),SP.URB.TOTL.IN.ZS,62.791,63.264,63.732,64.194,64.652,65.104,65.55,65.991,66.426,66.855,67.279,67.696,68.107,68.512
Bosnia and Herzegovina,BIH,Urban population (% of total),SP.URB.TOTL.IN.ZS,39.264,39.244,39.223,39.202,39.181,39.16,39.161,39.183,39.226,39.291,39.378,39.486,39.616,39.767
Botswana,BWA,Urban population (% of total),SP.URB.TOTL.IN.ZS,54.374,54.607,54.841,55.073,55.306,55.539,55.772,56.004,56.235,56.467,56.699,56.938,57.187,57.444
Brazil,BRA,Urban population (% of total),SP.URB.TOTL.IN.ZS,81.88,82.203,82.521,82.834,83.143,83.448,83.749,84.044,84.335,84.623,84.901,85.171,85.433,85.687
British Virgin Islands,VGB,Urban population (% of total),SP.URB.TOTL.IN.ZS,42.324,42.604,42.887,43.173,43.462,43.753,44.048,44.345,44.645,44.948,45.253,45.562,45.872,46.186
Brunei Darussalam,BRN,Urban population (% of total),SP.URB.TOTL.IN.ZS,72.136,72.606,73.061,73.503,73.931,74.345,74.746,75.134,75.51,75.872,76.223,76.561,76.887,77.202
Bulgaria,BGR,Urban population (% of total),SP.URB.TOTL.IN.ZS,69.524,69.879,70.233,70.584,70.932,71.278,71.622,71.963,72.302,72.638,72.971,73.3,73.626,73.948
Burkina Faso,BFA,Urban population (% of total),SP.URB.TOTL.IN.ZS,19.258,19.996,20.757,21.537,22.339,23.163,23.993,24.828,25.665,26.505,27.346,28.186,29.024,29.859
Burundi,BDI,Urban population (% of total),SP.URB.TOTL.IN.ZS,8.682,8.908,9.139,9.375,9.617,9.864,10.118,10.376,10.641,10.912,11.189,11.472,11.761,12.057
Cabo Verde,CPV,Urban population (% of total),SP.URB.TOTL.IN.ZS,55.146,55.997,56.846,57.689,58.529,59.363,60.194,61.016,61.833,62.624,63.389,64.127,64.84,65.526
Cambodia,KHM,Urban population (% of total),SP.URB.TOTL.IN.ZS,18.82,18.937,19.055,19.174,19.293,19.413,19.533,19.666,19.81,19.967,20.137,20.319,20.514,20.723
Cameroon,CMR,Urban population (% of total),SP.URB.TOTL.IN.ZS,46.738,47.338,47.94,48.541,49.143,49.741,50.337,50.928,51.516,52.099,52.677,53.25,53.819,54.381
Canada,CAN,Urban population (% of total),SP.URB.TOTL.IN.ZS,79.888,79.967,80.045,80.122,80.213,80.396,80.578,80.758,80.937,81.115,81.293,81.472,81.65,81.828
Cayman Islands,CYM,Urban population (% of total),SP.URB.TOTL.IN.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Central African Republic,CAF,Urban population (% of total),SP.URB.TOTL.IN.ZS,37.802,37.884,37.966,38.066,38.183,38.318,38.47,38.64,38.828,39.034,39.258,39.5,39.759,40.037
Chad,TCD,Urban population (% of total),SP.URB.TOTL.IN.ZS,21.702,21.735,21.768,21.801,21.834,21.868,21.901,21.934,21.983,22.048,22.129,22.227,22.341,22.471
Channel Islands,CHI,Urban population (% of total),SP.URB.TOTL.IN.ZS,30.557,30.619,30.681,30.743,30.805,30.867,30.929,30.992,31.054,31.116,31.189,31.271,31.363,31.465
Chile,CHL,Urban population (% of total),SP.URB.TOTL.IN.ZS,86.648,86.922,87.187,87.443,87.689,87.926,88.155,88.375,88.586,88.79,88.986,89.175,89.356,89.53
