,1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],Country Name,Series Code,Series Name
13382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.388355787,,,Australia,PA.NUS.PPP.05,"2005 PPP conversion factor, GDP (LCU per international $)"
13383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.464139574,,,Australia,PA.NUS.PRVT.PP.05,"2005 PPP conversion factor, private consumption (LCU per international $)"
13386,,0.947445,0.9405361999999999,0.9671617,0.9766271000000001,0.9996267,0.999718,0.9998426,0.999532,0.9943900999999999,0.9837164,0.9743295000000001,0.9568052,0.9577825,0.9648354,0.9705439,0.9773623,0.9785115999999999,0.9745849,0.9689391999999999,0.9669243000000001,0.9630212,0.9599658999999999,0.9452697999999999,0.9485366999999999,0.9441408,0.9437326,0.9409122000000001,0.9415338,0.9401943,0.9454640999999999,0.9441797,0.9453758000000001,0.9467774,0.9477388000000001,0.9626131,Australia,2.1,Achieve universal primary education
13387,,95.21117,94.56782,96.93985,97.73164,,,,,99.33684,98.32971,97.20877,95.53868,95.87583,96.70285,97.37965,98.13294,98.25354,97.75773,97.20217,97.02169,96.62221,96.32037,94.79994,95.08169,94.58455,94.62973,94.37704,94.43804,94.34438,94.83433,94.72572,94.85203,94.99775,95.10258,96.58082,Australia,SE.PRM.TENR.FE,"Adjusted net enrollment rate, primary, female (% of primary school age children)"
13388,,94.30256,93.56668,96.50409,97.5971,,,,,99.53682,98.41175,97.64704,95.81573,95.68539,96.27522,96.74581,97.36017,97.46976,97.17475,96.60137,96.37967,95.99786,95.68865,94.2673,94.63664,94.25179,94.12919,93.81944,93.88303,93.7109,94.27309,94.12587,94.23911,94.37399,94.46166,95.95781,Australia,SE.PRM.TENR.MA,"Adjusted net enrollment rate, primary, male (% of primary school age children)"
13389,5.705324776771434,5.371589093546021,2.6403401948859653,0.7847124563686378,2.4016182397111834,1.1391437382852274,0.3537433021078016,1.3194932891007483,3.711460800276228,4.495766128979952,0.0286300607378962,0.4844091075118371,4.614756612737224,2.4013289955003216,2.8990901699786633,2.203771074864676,6.314003108710267,5.073365237368847,2.4720639382119742,-0.4760722861990274,-0.24337729725588986,4.841701918687733,4.238944195624185,2.3121232634348132,4.574522038250038,4.029030894477685,4.216662990228485,4.477989179039227,2.442753490064746,2.4976259626930357,4.895124811916759,2.501414223756072,4.432884540555037,2.2975493158555906,3.356484945051207,2.2078943785793825,Australia,NY.ADJ.NNTY.KD.ZG,Adjusted net national income (annual % growth)
13390,208128795444.77185,219308619121.41193,225099112742.92395,226865493519.79297,232313936591.77512,234960326253.62424,235791482670.35706,238902735460.46356,247769516837.86627,258908654853.80032,258982780558.94064,260237316734.85556,272246635517.68723,278784172915.6475,286866377468.1014,293188255718.2555,311700171298.67957,327513859434.16595,335610211445.8842,334012464239.53644,333199553731.57245,349332082917.65295,364140074969.94385,372559442354.8129,389602256150.9153,405299451416.81775,422389563384.3098,441304122326.0503,452084094175.96954,463375463885.31415,486058271190.2986,498216601921.5956,520301968646.6566,532256162967.6811,550121260946.7986,562267357342.6129,Australia,NY.ADJ.NNTY.KD,Adjusted net national income (constant 2005 US$)
13391,42746395406.7689,52611358745.6535,72791558065.3679,80095974178.9146,86385532259.7798,89271570395.1756,96189847145.0203,106825395476.883,118506919216.196,142604369225.888,152576740637.499,142670587029.159,155267532016.819,142345733725.294,144322719064.919,149890778204.868,186781464775.028,237733714474.938,242196749082.38,253527007522.869,254133295849.364,247653751926.072,259016775151.395,292377416295.361,319536678378.596,347323042727.107,319312069948.363,311782020335.584,328385624845.307,300322488871.478,313793525360.672,369819313525.531,480868484243.598,532256162967.681,565643717254.178,628779245950.248,Australia,NY.ADJ.NNTY.CD,Adjusted net national income (current US$)
13392,3.7800551443494044,3.772902054234393,0.07489264793225914,-0.44852738510424217,1.3800101335642836,0.006031854520614388,-0.8064963822597946,0.23048674692769566,2.454951133624377,2.850659607889952,-1.6255527133591698,-0.7643723447319388,3.436965670429643,1.0106776181023633,1.226331150334829,0.6610275878240657,4.588640057569648,3.309894422472965,0.9666671676504563,-1.736532120528537,-1.4465008977291092,3.8209981925308085,3.1413848840152525,1.083607839122891,3.209587803793056,2.871717055072679,3.1361203885447395,3.291115688946576,1.2286092284741699,1.1248663299572286,3.6225947247392014,1.2443223798828171,3.2291309900016216,0.9563072008527627,1.8429328172099702,1.5714137518676239,Australia,NY.ADJ.NNTY.PC.KD.ZG,Adjusted net national income per capita (annual % growth)
13393,15794.854325322292,16390.778708625705,16403.05419681731,16329.482006751095,16554.830513202814,16555.829076495505,16422.306913940454,16460.158154916877,16864.24699413737,17344.98927137404,17063.037327641367,16932.612189137588,17514.58025718523,17691.596199749176,17908.55375493816,18026.934235838606,18854.12536133603,19478.177005076956,19666.46614704187,19324.951645425623,19045.416046388822,19773.141049281312,20394.291513298453,20615.285654870127,21276.951348965937,21887.96518965371,22574.398128604018,23317.347687099773,23603.826772618886,23869.338272565506,24734.027661657623,25041.798703298027,25850.43118568005,26097.640720560197,26578.602705916957,26996.262523891994,Australia,NY.ADJ.NNTY.PC.KD,Adjusted net national income per capita (constant 2005 US$)
